fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
90     0.035030011     0.025546605     337.764     35.568    267.325     148.564    0.010000
91     0.037998896     0.032557823     337.573     33.554    261.560     146.685    0.010000
92     0.023676375     0.027551819     337.724     35.323    258.187     146.177    0.010000
93     0.025793934     0.026505165     339.897     34.458    275.653     148.869    0.000000
94     0.039624460     0.028542684     341.131     36.136    275.346     148.662    0.020000
95     0.031591441     0.029253623     342.869     34.051    260.491     144.969    0.000000
96     0.022243369     0.022512946     341.755     33.444    255.151     142.873    0.020000
97     0.022822566     0.022245066     337.459     35.070    258.982     143.947    0.010000
98     0.025219567     0.031250942     342.573     33.553    255.614     144.030    0.000000
99     0.022930836     0.022303503     342.239     35.266    266.620     147.361    0.010000
100     0.028259326     0.037544519     343.381     34.050    259.971     145.798    0.010000
101     0.023179468     0.027040156     339.809     32.812    259.375     145.785    0.010000
102     0.029985435     0.031384028     343.404     34.174    270.908     148.284    0.010000
103     0.038552366     0.026449822     342.122     32.772    268.801     147.649    0.010000
104     0.030579036     0.023913132     342.724     33.670    266.433     145.487    0.010000
105     0.023574717     0.026606712     342.195     32.884    268.081     146.574    0.010000
106     0.025436753     0.031743545     341.253     34.788    264.711     143.820    0.010000
107     0.025105949     0.029629938     343.950     36.330    254.455     142.256    0.010000
108     0.020854728     0.025581876     342.598     34.950    263.976     144.301    0.010000
109     0.025533298     0.024547720     341.703     32.357    249.256     139.662    0.010000
110     0.018023416     0.026511027     340.993     33.703    256.553     142.593    0.010000
111     0.026029840     0.027131191     336.440     31.074    252.451     142.311    0.010000
112     0.022932187     0.031928170     342.062     36.039    252.539     142.536    0.010000
113     0.025084659     0.033186592     339.273     31.918    254.436     141.896    0.010000
114     0.021925507     0.033541627     343.628     34.608    255.918     144.936    0.010000
115     0.030850822     0.030896954     339.313     32.864    263.104     144.423    0.010000
116     0.026449410     0.022905873     338.666     31.886    252.480     142.425    0.010000
117     0.022667952     0.031190880     341.013     31.434    238.656     136.976    0.010000
118     0.018440954     0.026725566     339.288     31.637    231.752     133.691    0.010000
119     0.018431710     0.038114000     343.745     32.688    238.287     137.718    0.010000
120     0.023871798     0.025159214     341.774     31.521    230.203     134.006    0.010000
121     0.024105191     0.027271720     338.252     30.779    223.954     133.966    0.000000
122     0.020746112     0.028892253     336.041     30.127    224.355     134.729    0.010000
123     0.019194681     0.044410940     341.858     33.499    219.691     133.983    0.010000
124     0.020872297     0.026269468     339.224     30.876    218.894     134.493    0.020000
125     0.022407999     0.030612899     340.691     33.317    214.932     133.900    0.010000
126     0.025693599     0.022605447     341.845     33.485    220.992     138.403    0.000000
127     0.039822571     0.024897967     343.751     31.771    217.422     137.311    0.010000
128     0.020726221     0.035024233     342.757     32.203    224.445     140.596    0.010000
129     0.028440943     0.022810113     343.279     30.313    226.201     143.248    0.010000
130     0.030715983     0.058146335     342.445     30.875    250.238     148.489    0.010000
131     0.039885711     0.039841030     235.549     148.882    327.745     31.290    0.010000
132     0.036111820     0.031655349     330.419     30.503    230.857     147.772    0.010000
133     0.023169100     0.032015376     343.943     33.270    241.407     149.050    0.010000
134     0.039333351     0.026087826     343.374     32.405    256.988     149.631    0.010000
135     0.043394256     0.028287841     342.124     32.967    260.786     149.983    0.010000
136     0.043630831     0.030815369     343.583     30.075    260.868     149.815    0.010000
137     0.040393792     0.041775271     341.622     30.080    250.254     149.409    0.010000
138     0.036184873     0.046962004     342.427     30.825    251.198     149.972    0.000000
139     0.042020120     0.029321326     342.884     30.430    245.966     149.121    0.010000
140     0.032531377     0.047182739     343.275     31.976    258.815     149.485    0.020000
141     0.036814388     0.028540321     343.323     31.230    262.106     149.410    0.010000
142     0.042640239     0.025445389     254.832     149.409    338.651     31.231    0.000000
143     0.035663594     0.038358327     338.256     30.560    262.751     149.100    0.020000
144     0.032226462     0.040387467     343.142     30.109    269.047     149.216    0.010000
145     0.041942496     0.035724994     339.278     30.122    269.536     148.911    0.000000
146     0.039190669     0.039927691     342.358     30.792    271.558     149.795    0.020000
147     0.043666884     0.040962972     340.540     30.134    268.123     149.402    0.010000
148     0.039551824     0.058270186     258.509     149.790    338.958     32.241    0.010000
149     0.040983766     0.029509729     270.445     149.371    333.681     30.539    0.000000
150     0.036876254     0.035588261     343.805     30.243    268.857     149.805    0.010000
151     0.036533378     0.037118088     338.704     30.388    270.005     149.364    0.010000
152     0.027330048     0.045898821     271.641     149.524    343.037     32.936    0.010000
153     0.041240353     0.031567927     340.432     30.648    261.262     149.801    0.020000
154     0.039182808     0.042088117     343.795     30.196    261.292     149.812    0.000000
155     0.035083897     0.040740136     342.077     31.391    257.370     148.948    0.010000
156     0.033431076     0.024042545     343.329     30.506    259.802     149.591    0.010000
157     0.037027229     0.051823858     343.894     31.699    265.842     149.559    0.000000
158     0.032940447     0.033279687     339.545     30.861    266.780     148.655    0.020000
159     0.033739697     0.046722602     267.278     149.470    289.245     32.785    0.010000
160     0.047280535     0.032944400     265.490     148.731    336.873     30.742    0.010000
161     0.035239547     0.031144144     275.542     149.864    343.559     32.746    0.010000
162     0.041961364     0.024843743     343.383     31.030    277.548     149.099    0.000000
163     0.036922008     0.025389710     343.701     32.824    265.286     149.066    0.020000
