fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
90     0.003604067     0.002951177     336.962     35.679    267.497     148.640    0.040000
91     0.003934446     0.002993314     337.884     35.501    265.817     148.181    0.040000
92     0.003913269     0.003146555     339.337     35.877    268.640     148.730    0.050000
93     0.004136758     0.002913543     340.450     36.034    268.737     148.630    0.030000
94     0.004175021     0.003010093     342.066     33.233    264.987     147.434    0.040000
95     0.003386372     0.003295444     342.452     36.592    266.558     147.731    0.040000
96     0.003579740     0.003661087     342.430     36.652    266.438     147.523    0.050000
97     0.003455017     0.002931372     341.445     33.148    264.745     147.277    0.040000
98     0.003041845     0.003055949     343.075     33.584    266.516     147.328    0.040000
99     0.003252035     0.003455529     342.033     33.298    263.134     146.483    0.040000
100     0.003002689     0.003187949     341.647     33.188    267.657     147.428    0.050000
101     0.003346551     0.003255977     341.746     34.982    263.531     146.178    0.040000
102     0.002921949     0.003306988     343.671     36.522    263.257     146.046    0.050000
103     0.002911877     0.003128750     343.307     35.760    261.029     145.192    0.040000
104     0.002896460     0.002968762     343.174     36.185    262.258     145.674    0.040000
105     0.003050426     0.002836786     340.879     34.527    263.925     146.022    0.060000
106     0.003107571     0.003010468     341.659     34.774    260.826     145.327    0.040000
107     0.002771747     0.003270030     343.693     33.452    260.854     144.988    0.050000
108     0.002865552     0.003021126     343.957     35.483    268.577     146.289    0.040000
109     0.003042396     0.003438467     342.492     36.250    254.796     142.440    0.040000
110     0.002584483     0.003037645     342.559     34.720    267.595     146.123    0.050000
111     0.003666770     0.003069920     342.837     33.017    252.171     141.815    0.040000
112     0.002735589     0.003069900     342.298     34.014    266.877     145.732    0.050000
113     0.003752670     0.003190372     342.340     33.812    250.353     141.539    0.040000
114     0.002605248     0.003072888     342.443     35.714    260.445     143.867    0.040000
115     0.003355920     0.003452295     343.836     32.765    262.993     144.845    0.050000
116     0.002985368     0.003596228     342.605     33.692    247.307     139.605    0.050000
117     0.002747127     0.003363948     343.331     35.290    237.605     136.069    0.040000
118     0.002772353     0.003243998     341.618     32.013    235.086     135.692    0.050000
119     0.002592433     0.003638458     343.989     33.245    226.079     132.673    0.040000
120     0.002678983     0.003430993     343.293     35.094    227.931     134.204    0.040000
121     0.003018311     0.003375616     343.503     32.365    221.230     132.392    0.050000
122     0.002753287     0.003381446     343.870     32.328    216.970     131.702    0.040000
123     0.002782816     0.003709916     341.620     31.766    223.014     135.062    0.050000
124     0.003475769     0.004380449     342.954     32.010    217.859     133.856    0.040000
125     0.002643463     0.003431874     343.035     31.597    215.631     134.172    0.040000
126     0.002785187     0.004261491     343.415     32.181    213.689     135.189    0.040000
127     0.003087962     0.004010142     343.773     31.554    218.637     138.762    0.050000
128     0.003431655     0.003986577     343.948     31.301    227.928     141.550    0.050000
129     0.003570538     0.004115414     343.768     31.418    245.788     148.524    0.040000
130     0.007525499     0.004059817     343.892     31.303    239.573     149.648    0.050000
131     0.005414494     0.004185325     343.702     30.727    246.845     149.737    0.040000
132     0.005187095     0.005053896     343.173     30.830    256.190     149.892    0.040000
133     0.005134595     0.004237260     343.208     30.133    251.525     149.889    0.050000
134     0.004834131     0.005385255     343.546     30.262    256.541     149.955    0.030000
135     0.004884795     0.005091602     343.272     30.519    251.514     149.917    0.050000
136     0.005095118     0.004444218     343.154     30.529    254.073     149.915    0.050000
137     0.005530683     0.004885870     343.658     30.514    252.434     149.958    0.040000
138     0.005560348     0.005122588     342.111     30.230    266.073     149.911    0.040000
139     0.005577997     0.005348504     343.798     30.172    263.744     149.892    0.060000
140     0.005687645     0.004835180     343.819     31.824    261.884     149.730    0.050000
141     0.004998377     0.003716917     343.248     30.005    253.022     149.966    0.040000
142     0.005020957     0.005442836     342.393     30.654    262.379     149.843    0.050000
143     0.005245790     0.004792859     343.355     30.187    262.724     149.968    0.040000
144     0.005151304     0.005981672     343.100     30.329    263.753     149.698    0.050000
145     0.004593001     0.005619209     342.930     30.149    260.251     149.897    0.040000
146     0.005324236     0.004903853     341.589     30.081    264.414     149.765    0.050000
147     0.004845577     0.005446725     343.764     30.064    261.942     149.992    0.040000
148     0.005631934     0.005515278     342.274     30.381    265.242     149.846    0.040000
149     0.006114726     0.005268097     343.722     30.268    264.181     149.815    0.060000
150     0.005131233     0.005056523     343.701     30.920    271.642     149.960    0.040000
151     0.005025224     0.004158307     343.080     30.441    265.163     149.671    0.050000
152     0.004596843     0.004750443     343.124     30.677    263.679     149.734    0.050000
153     0.004622456     0.005133161     343.917     30.243    262.274     149.571    0.040000
154     0.005142860     0.005032806     343.684     30.016    269.815     149.213    0.050000
155     0.004686457     0.005639495     343.663     30.324    270.544     149.551    0.050000
156     0.005194632     0.006045127     343.203     31.844    272.603     149.664    0.040000
157     0.004937645     0.003866062     342.713     30.351    276.420     149.978    0.040000
158     0.005376985     0.004753753     342.977     30.023    269.634     149.651    0.050000
159     0.004685652     0.006059926     343.168     30.184    269.822     149.823    0.050000
160     0.005487966     0.005334682     342.797     30.052    267.845     149.370    0.040000
161     0.004384547     0.005823269     342.311     30.646    270.052     149.749    0.040000
162     0.004744657     0.004780706     342.351     31.010    268.151     149.678    0.050000
163     0.005410338     0.004358959     342.607     30.992    278.325     149.656    0.050000
164     0.004579018     0.004915220     342.479     30.549    278.331     149.910    0.050000
165     0.005515788     0.004783272     343.723     31.822    278.546     149.937    0.040000
166     0.005079171     0.004233787     342.336     30.164    277.987     149.999    0.050000
167     0.005152548     0.005217282     342.424     30.569    284.857     149.649    0.040000
168     0.004631284     0.004919203     343.567     31.211    279.305     149.744    0.040000
169     0.005470706     0.004313342     342.296     30.950    274.303     149.956    0.040000
170     0.005787265     0.004394134     343.262     32.747    273.139     149.938    0.050000
171     0.005104430     0.003559806     343.478     31.558    281.055     149.614    0.050000
172     0.004843268     0.004065896     343.192     31.816    281.021     149.370    0.040000
173     0.004371066     0.003653594     343.688     32.068    280.057     149.617    0.050000
174     0.004885493     0.003454608     343.631     32.492    280.137     149.884    0.040000
175     0.005585952     0.003620066     341.782     32.087    279.344     149.791    0.050000
176     0.005087104     0.003808034     342.106     32.424    277.576     149.670    0.040000
177     0.004655049     0.003623970     341.375     32.382    278.613     149.974    0.040000
178     0.005641717     0.003540696     340.668     32.320    277.816     149.616    0.050000
179     0.005046730     0.003288362     341.316     34.132    277.292     149.612    0.050000
180     0.004820746     0.003276748     341.342     32.965    276.308     149.845    0.040000
181     0.004988357     0.003253966     340.433     32.735    274.979     149.452    0.040000
182     0.004754791     0.003156414     339.033     32.244    275.944     149.765    0.050000
183     0.005062705     0.003632834     341.538     33.342    279.156     149.892    0.050000
184     0.005870484     0.003446476     339.908     32.860    279.759     149.910    0.050000
185     0.005058785     0.003502263     337.434     32.611    274.252     149.879    0.040000
186     0.004831579     0.003483277     336.049     32.376    278.236     149.691    0.050000
187     0.004950901     0.003855751     334.642     32.088    279.338     149.903    0.050000
188     0.005238148     0.003577145     336.367     32.595    277.174     149.372    0.040000
189     0.004577314     0.003536124     335.728     32.503    277.951     149.216    0.040000
190     0.004214449     0.003480021     336.416     32.837    272.751     149.832    0.050000
191     0.005594877     0.003223981     335.280     33.144    278.737     149.404    0.040000
192     0.004594999     0.003283325     334.019     32.700    272.941     149.627    0.060000
193     0.005110689     0.003415141     335.108     33.040    273.665     149.812    0.030000
194     0.004627169     0.003309866     332.825     32.227    271.890     149.303    0.050000
195     0.004217417     0.003304781     331.579     32.277    277.209     148.571    0.040000
196     0.003680076     0.003626763     331.027     31.980    270.786     148.773    0.050000
197     0.003829828     0.003962620     333.022     32.947    269.976     148.508    0.050000
198     0.003677349     0.003390321     333.441     33.076    269.523     148.330    0.040000
199     0.003280895     0.003338470     333.621     33.176    272.114     149.433    0.040000
200     0.004968294     0.003010652     337.136     34.382    274.306     149.799    0.050000
201     0.004652609     0.003221640     337.550     34.338    271.120     149.204    0.060000
202     0.004062262     0.003111947     337.364     34.340    271.711     149.325    0.040000
203     0.004282840     0.002957028     331.582     32.528    272.355     149.642    0.040000
204     0.004633389     0.003561765     331.686     34.230    271.258     149.289    0.050000
205     0.004881197     0.003285292     337.218     34.596    272.860     149.454    0.050000
206     0.004736857     0.002981896     336.740     34.107    272.140     149.721    0.030000
207     0.004713725     0.003231166     332.099     34.520    270.412     147.468    0.050000
208     0.003328967     0.003148391     332.393     34.645    270.186     149.026    0.050000
209     0.004309676     0.003072827     334.119     33.746    268.172     147.014    0.040000
210     0.003182749     0.003093386     334.613     33.938    270.216     149.280    0.050000
211     0.004659666     0.003368390     330.408     32.565    267.022     148.696    0.050000
212     0.003811983     0.003555581     335.323     34.119    268.533     149.108    0.040000
213     0.004704874     0.003245562     331.063     34.378    266.796     147.185    0.040000
214     0.003055651     0.003090959     335.412     34.348    267.427     147.456    0.050000
215     0.003615433     0.003176658     329.760     34.241    266.180     147.174    0.050000
216     0.003353903     0.003093488     328.630     32.249    265.706     147.360    0.050000
217     0.003317200     0.003578269     332.759     33.698    267.388     147.904    0.050000
218     0.003467569     0.003175249     332.660     33.604    264.542     147.290    0.040000
219     0.003173278     0.003291377     327.264     33.647    269.458     148.663    0.050000
220     0.004166390     0.003058300     328.368     34.071    263.800     147.536    0.040000
221     0.003187643     0.003128780     326.851     32.301    263.414     147.343    0.050000
222     0.003486044     0.003589950     325.432     31.954    269.052     149.227    0.040000
223     0.004519240     0.003860763     326.530     32.258    258.467     148.035    0.040000
224     0.003642656     0.003717221     325.325     32.303    256.966     147.753    0.050000
225     0.003408755     0.003787946     325.540     32.428    256.475     147.788    0.060000
226     0.003408315     0.003938770     323.628     32.225    260.604     147.588    0.040000
227     0.003351310     0.003677925     323.294     32.229    259.979     147.748    0.050000
228     0.003365634     0.003548300     322.941     32.368    254.922     148.395    0.050000
229     0.003692386     0.003572646     322.184     32.153    256.221     147.181    0.040000
230     0.003207810     0.003490074     324.621     33.542    252.909     147.935    0.050000
231     0.004047906     0.003293533     324.991     33.715    258.448     148.057    0.040000
232     0.003603776     0.003300923     322.206     33.200    257.163     148.120    0.050000
233     0.003605025     0.003590162     322.945     33.606    252.235     148.521    0.050000
234     0.003902975     0.003314008     322.302     33.679    256.521     147.831    0.050000
235     0.003585808     0.003649561     321.560     33.962    254.286     149.157    0.050000
236     0.004631345     0.003136628     322.361     34.427    256.481     148.664    0.030000
237     0.003880017     0.003270690     319.801     33.791    255.197     148.110    0.050000
238     0.003544303     0.003242671     325.485     34.301    249.335     148.146    0.050000
239     0.003962525     0.003125147     317.907     34.007    253.701     148.023    0.050000
240     0.003761107     0.003142538     320.340     34.950    251.170     148.614    0.040000
241     0.004066966     0.003231178     320.851     35.104    249.894     148.568    0.050000
242     0.003859300     0.003292788     323.029     36.154    254.668     148.408    0.040000
243     0.003812587     0.003210567     322.525     36.288    251.854     149.298    0.040000
244     0.004676534     0.003088648     322.306     36.338    253.740     148.332    0.050000
245     0.004063385     0.003149813     321.492     37.816    254.575     148.432    0.050000
246     0.003806906     0.003238602     321.600     36.364    254.409     148.877    0.040000
247     0.004267356     0.002946079     319.847     37.352    257.625     149.537    0.050000
248     0.005221794     0.003342683     320.136     36.270    248.761     149.050    0.040000
249     0.004514930     0.003080301     320.968     36.630    249.272     147.384    0.050000
250     0.003085963     0.003037131     317.018     35.180    249.805     149.226    0.050000
251     0.004487414     0.003036141     319.437     36.007    255.504     149.536    0.050000
252     0.004378581     0.003213554     318.700     36.036    253.375     148.622    0.040000
253     0.003745252     0.003059204     319.750     36.298    247.835     149.009    0.040000
254     0.004004654     0.002984593     320.789     38.200    249.798     149.827    0.050000
255     0.005328251     0.003176972     319.077     37.476    254.587     149.960    0.050000
256     0.005346871     0.002805164     318.695     35.792    249.130     149.977    0.050000
257     0.005515983     0.002755495     317.146     36.777    245.096     149.347    0.040000
258     0.004505967     0.003156469     319.241     35.741    245.071     149.379    0.050000
259     0.004800286     0.002729104     319.812     35.786    245.701     149.884    0.040000
260     0.005428687     0.003046379     318.589     35.113    244.382     147.851    0.050000
261     0.003466987     0.002970919     320.109     35.570    245.295     148.601    0.040000
262     0.003889086     0.003048924     320.035     35.038    244.176     149.004    0.050000
263     0.004123324     0.003055583     314.586     32.468    243.752     149.994    0.050000
264     0.005433511     0.003334448     323.466     37.323    242.816     148.482    0.040000
265     0.004005556     0.004042048     323.413     36.920    240.557     149.699    0.040000
266     0.005337963     0.003169216     317.185     32.916    239.873     149.685    0.050000
267     0.005305314     0.003165836     317.571     32.792    242.431     148.819    0.050000
268     0.003957615     0.003163001     317.298     32.273    245.395     148.942    0.040000
269     0.004447267     0.003590296     318.092     32.666    238.489     148.201    0.040000
270     0.003622407     0.003412940     321.244     33.661    240.552     149.106    0.060000
271     0.004771263     0.003316860     319.789     32.989    239.053     149.017    0.050000
272     0.004594660     0.003183821     321.117     33.502    240.183     149.383    0.040000
273     0.004777822     0.003278029     320.637     33.513    239.714     149.616    0.040000
274     0.004835425     0.003311750     327.131     36.316    242.188     149.271    0.060000
275     0.004447963     0.003552914     321.718     35.927    235.569     148.731    0.040000
276     0.004054848     0.003207030     322.888     36.154    245.040     149.983    0.050000
277     0.005402934     0.003235847     322.538     36.117    237.191     149.410    0.040000
278     0.004519366     0.003072462     323.253     36.427    242.826     149.540    0.050000
279     0.004941943     0.002918493     324.663     36.857    237.464     149.261    0.050000
280     0.004290821     0.002985929     323.696     36.732    244.465     149.865    0.040000
281     0.005164953     0.003029006     323.902     36.578    237.593     149.584    0.050000
282     0.005288915     0.003168994     326.723     37.529    236.894     149.169    0.040000
283     0.004283935     0.003112992     324.282     36.789    238.682     149.633    0.050000
284     0.004572261     0.002929247     323.839     36.840    241.727     149.095    0.060000
285     0.004372381     0.003016535     326.740     37.800    236.366     149.284    0.040000
286     0.004344008     0.002966515     322.946     36.462    242.381     149.249    0.050000
287     0.004415380     0.002740741     326.561     37.885    242.318     149.649    0.050000
288     0.005040404     0.003449003     326.115     37.618    240.949     149.096    0.030000
289     0.004502266     0.002995796     326.153     37.622    236.132     149.065    0.050000
290     0.004322300     0.003072314     327.780     38.299    241.605     149.159    0.050000
291     0.004334268     0.003276418     326.171     37.349    244.577     149.597    0.040000
292     0.005501160     0.002912381     326.149     37.334    242.652     148.997    0.040000
293     0.004501123     0.002977451     324.784     36.591    245.515     149.755    0.050000
294     0.005568816     0.002797691     328.223     37.395    245.670     149.944    0.050000
295     0.005386786     0.003023640     324.958     35.289    244.015     149.041    0.050000
296     0.004382849     0.002827963     329.490     36.882    241.391     149.779    0.050000
297     0.004879732     0.003254680     328.291     36.416    238.465     149.983    0.040000
298     0.004713244     0.003123249     332.455     37.417    237.702     149.916    0.050000
299     0.005508148     0.003327013     335.731     37.136    237.274     148.346    0.050000
300     0.003527467     0.002961998     334.990     36.635    244.162     149.908    0.040000
301     0.005377573     0.002932607     336.164     36.580    234.335     148.856    0.040000
302     0.004061720     0.003023174     334.892     35.976    241.573     149.889    0.050000
303     0.004882072     0.002953464     332.468     35.150    240.250     149.930    0.050000
304     0.006090103     0.003208054     332.540     34.694    238.586     149.393    0.040000
305     0.004396425     0.003104859     333.741     35.250    234.778     148.644    0.060000
306     0.004056091     0.003034089     334.006     35.371    235.177     148.730    0.040000
307     0.004338457     0.003162709     334.475     35.297    236.233     149.994    0.050000
308     0.005705335     0.003161769     333.379     35.247    235.615     149.116    0.050000
309     0.003967678     0.002961337     333.799     35.218    235.480     149.353    0.040000
310     0.004294172     0.002767103     333.223     32.897    236.035     149.727    0.030000
311     0.004990986     0.003243075     333.148     34.945    236.882     149.260    0.050000
312     0.004657022     0.003497667     339.150     36.573    237.492     149.834    0.050000
313     0.005202731     0.003230818     331.774     32.962    237.243     149.749    0.040000
314     0.005705889     0.003400437     333.230     33.459    238.896     149.972    0.040000
315     0.005568034     0.003307683     332.626     34.034    238.818     148.763    0.050000
316     0.003998038     0.003186133     331.183     33.616    238.299     148.984    0.040000
317     0.004227222     0.003334869     332.908     34.250    238.045     148.469    0.050000
318     0.003707420     0.003081184     333.450     34.653    247.589     149.977    0.050000
319     0.005369710     0.003165282     330.769     35.786    246.571     149.846    0.040000
320     0.005094523     0.003048486     335.725     33.757    246.185     149.656    0.050000
321     0.004839862     0.003088413     331.902     34.250    246.723     149.783    0.040000
322     0.005310964     0.003219854     330.672     36.166    241.097     149.365    0.050000
323     0.004809643     0.003423553     332.325     36.593    240.890     149.837    0.050000
324     0.004962329     0.002954991     330.493     36.324    241.193     149.770    0.050000
325     0.005073362     0.003121311     330.036     36.425    240.953     149.760    0.050000
326     0.004912282     0.002929020     331.347     36.743    248.001     149.978    0.030000
327     0.005148671     0.002990576     329.678     33.420    241.566     149.687    0.060000
328     0.005063315     0.003095438     330.271     36.773    241.744     149.391    0.040000
329     0.004547848     0.003425763     331.083     36.813    241.008     149.784    0.050000
330     0.005349600     0.002969076     332.396     37.514    245.746     149.549    0.050000
331     0.004597462     0.003039469     332.119     37.285    242.384     149.808    0.040000
332     0.005068576     0.003065219     330.168     36.305    245.035     149.838    0.050000
333     0.005333406     0.002856395     331.832     36.933    239.264     149.846    0.050000
334     0.005323680     0.002923210     331.547     36.936    239.644     149.573    0.040000
335     0.005145602     0.002894125     330.258     36.168    237.808     149.293    0.050000
336     0.004716079     0.002718941     331.858     36.453    237.952     149.456    0.040000
337     0.005226587     0.003165403     333.057     36.600    237.446     148.276    0.050000
338     0.003551984     0.003124263     332.569     36.125    237.872     149.836    0.050000
339     0.004955329     0.003060012     331.045     33.200    235.382     149.560    0.040000
340     0.004959721     0.002943198     332.876     35.811    243.070     149.757    0.050000
341     0.005032763     0.003398828     338.452     35.938    235.595     149.454    0.050000
342     0.004592773     0.003016656     333.540     35.705    240.194     148.908    0.050000
343     0.004441460     0.002856604     333.524     35.545    236.142     148.557    0.040000
344     0.003945617     0.003178764     335.300     35.949    234.896     149.297    0.040000
345     0.004640571     0.003152618     334.985     35.729    240.011     149.930    0.050000
346     0.005257709     0.003170331     334.054     35.484    237.209     149.463    0.050000
347     0.004608722     0.003070468     335.471     35.897    236.293     149.807    0.040000
348     0.004734725     0.003041341     341.277     37.758    234.129     149.876    0.050000
349     0.004728612     0.003512932     334.064     35.554    238.676     149.912    0.040000
350     0.005388019     0.002883632     339.913     37.487    241.812     149.950    0.050000
351     0.005134403     0.003203594     333.673     35.593    233.606     149.820    0.040000
352     0.005417855     0.002831121     332.191     35.057    241.051     149.972    0.050000
353     0.005188290     0.003054351     332.929     35.584    237.659     149.531    0.050000
354     0.004387389     0.003257091     331.434     35.421    243.622     149.968    0.040000
355     0.005595686     0.002969377     330.704     35.300    237.193     149.998    0.060000
356     0.005659294     0.002951873     330.553     35.302    239.374     149.764    0.050000
357     0.005180505     0.002956591     335.888     35.956    246.039     149.724    0.040000
358     0.005341834     0.002940865     329.455     35.764    246.237     149.898    0.040000
359     0.005013202     0.003254215     329.542     33.364    242.962     149.121    0.040000
360     0.004124368     0.002958497     330.193     36.257    244.292     149.448    0.060000
361     0.004968469     0.003541796     330.469     36.576    245.032     149.960    0.040000
362     0.005589282     0.003175401     330.060     36.363    248.664     149.827    0.050000
363     0.005150653     0.002954760     328.095     36.131    243.267     149.168    0.050000
364     0.004353352     0.003139704     329.389     36.552    247.527     149.870    0.040000
365     0.005375406     0.003074743     327.950     35.947    242.488     148.799    0.050000
366     0.004166282     0.003003710     327.767     35.513    248.001     149.883    0.050000
367     0.005636967     0.002971156     328.997     35.893    246.179     149.603    0.050000
368     0.004896485     0.002908427     329.904     36.034    242.669     149.275    0.040000
369     0.004272172     0.002993014     335.320     33.882    246.827     149.704    0.050000
370     0.005271118     0.003157035     328.605     35.986    243.981     149.509    0.050000
371     0.004666633     0.003475497     329.965     36.190    246.032     149.448    0.050000
372     0.004939241     0.003081325     329.481     37.053    245.890     149.541    0.040000
373     0.004599443     0.002890922     327.217     36.116    245.537     149.937    0.050000
374     0.006118399     0.002797072     328.449     37.053    242.646     149.309    0.040000
375     0.004500752     0.003373279     333.136     35.010    244.670     149.722    0.050000
376     0.005059584     0.002835330     331.480     34.889    243.943     149.776    0.050000
