fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     311.226     41.148    234.598     151.650    1.530000
1     0.012048714     0.003129921     312.425     41.180    229.010     149.624    0.130000
2     0.002383134     0.001435963     314.980     42.462    227.921     149.875    0.110000
3     0.002604029     0.001555510     313.977     41.572    226.790     149.706    0.120000
4     0.002514623     0.001411631     314.467     41.620    228.935     149.973    0.110000
5     0.002686666     0.001536966     314.237     41.312    229.019     149.896    0.120000
6     0.002807583     0.001460344     314.623     41.344    226.284     149.525    0.130000
7     0.002407831     0.001510632     317.217     42.338    231.314     149.968    0.120000
8     0.002692421     0.001596616     315.857     41.478    229.845     149.581    0.130000
9     0.002391497     0.001378897     316.893     41.813    228.823     149.682    0.130000
10     0.002586622     0.001479488     315.945     41.278    231.197     149.581    0.130000
11     0.002372691     0.001511681     300.130     40.296    259.236     149.428    0.130000
12     0.002432305     0.001417106     299.398     40.670    262.233     149.823    0.130000
13     0.002576463     0.001488570     296.256     39.692    259.245     149.423    0.130000
14     0.002391929     0.001423698     297.666     40.118    261.581     149.976    0.130000
15     0.002839754     0.001538628     297.093     40.420    258.829     149.793    0.140000
16     0.002577756     0.001586599     297.673     40.572    261.307     149.858    0.120000
17     0.002488787     0.001548082     297.686     40.810    256.909     149.561    0.140000
18     0.002503050     0.001485227     297.165     40.475    258.201     149.799    0.120000
19     0.002448531     0.001424051     296.045     39.947    257.323     149.882    0.140000
20     0.002665368     0.001431591     298.370     40.626    252.243     149.383    0.140000
21     0.002274633     0.001520863     298.871     40.796    254.462     149.994    0.130000
22     0.002711416     0.001519017     298.359     40.311    252.427     149.945    0.130000
23     0.002704770     0.001468699     300.801     40.961    248.208     149.963    0.130000
24     0.002842997     0.001545197     301.006     40.753    248.574     149.838    0.120000
25     0.002690186     0.001465650     301.716     40.557    244.601     149.705    0.130000
26     0.002457266     0.001495361     303.708     41.341    242.695     149.644    0.120000
27     0.002325681     0.001569453     302.799     40.545    241.909     149.787    0.120000
28     0.002548267     0.001453647     304.832     40.886    238.138     149.755    0.120000
29     0.002548926     0.001554584     305.109     40.624    236.223     149.739    0.120000
30     0.002643805     0.001472750     308.813     41.560    233.053     149.487    0.130000
31     0.002214368     0.001664532     306.939     40.654    233.703     149.827    0.110000
32     0.002602980     0.001446169     308.111     41.002    231.289     150.000    0.140000
33     0.002687309     0.001473778     312.602     38.356    230.474     149.879    0.120000
34     0.002621526     0.001367114     309.975     41.291    229.575     149.740    0.130000
35     0.002572151     0.001847353     310.567     41.150    229.383     149.683    0.120000
36     0.002523696     0.001515066     312.284     41.678    229.063     149.942    0.120000
37     0.002657006     0.001564688     311.089     41.001    227.449     149.713    0.120000
38     0.002427343     0.001457671     311.518     40.911    228.131     149.910    0.110000
39     0.002626965     0.001496189     311.551     40.870    229.837     149.990    0.130000
40     0.002656899     0.001482240     314.141     41.606    229.368     149.950    0.120000
41     0.002518914     0.001527894     315.391     42.019    227.641     149.395    0.130000
42     0.002310456     0.001543047     314.992     41.786    229.663     149.799    0.120000
43     0.002530185     0.001538532     315.825     41.917    228.368     149.806    0.130000
44     0.002588477     0.001485258     315.792     41.833    231.316     149.978    0.130000
45     0.002616377     0.001456558     316.479     41.891    231.360     149.865    0.110000
46     0.002580928     0.001494270     316.393     41.618    231.960     149.813    0.130000
47     0.002631280     0.001403641     315.704     41.178    231.372     149.837    0.120000
48     0.002496422     0.001454338     317.872     41.766    230.855     149.704    0.120000
49     0.002395366     0.001489643     317.254     41.416    233.220     149.894    0.120000
50     0.002633384     0.001413670     319.353     41.581    232.335     149.762    0.120000
51     0.002583733     0.001528498     319.753     41.771    233.533     149.807    0.120000
52     0.002357537     0.001508762     319.215     41.052    233.005     149.868    0.130000
53     0.002702108     0.001439647     321.707     41.712    234.239     149.863    0.120000
54     0.002636128     0.001589897     321.108     41.237    235.750     149.975    0.120000
55     0.002685205     0.001486200     322.361     41.332    234.452     149.733    0.120000
56     0.002471400     0.001514270     321.591     40.641    234.063     149.555    0.130000
57     0.002633249     0.001447294     323.227     40.961    234.570     149.573    0.130000
58     0.002217126     0.001484961     323.763     40.740    235.705     149.835    0.130000
59     0.002583747     0.001454135     325.440     41.036    236.337     149.777    0.110000
60     0.002612683     0.001500859     323.241     39.656    238.447     149.952    0.110000
61     0.002599063     0.001465122     326.715     40.600    244.159     149.890    0.120000
62     0.002581956     0.001622932     327.766     40.433    239.122     149.735    0.110000
63     0.002625265     0.001576783     327.973     40.311    246.133     149.812    0.130000
64     0.002528678     0.001533930     328.793     40.220    246.826     149.897    0.130000
65     0.002527323     0.001485419     326.401     38.637    249.911     149.867    0.120000
66     0.002613202     0.001350101     328.236     39.018    250.206     149.949    0.130000
67     0.002685169     0.001559947     327.115     37.871    250.647     149.358    0.140000
68     0.002176365     0.001418183     330.196     38.736    254.640     149.860    0.120000
69     0.002604807     0.001549004     330.944     38.628    255.943     149.831    0.140000
70     0.002680101     0.001514606     331.824     38.085    256.206     149.392    0.130000
