fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     311.226     41.148    234.598     151.650    0.530000
1     0.023355840     0.013741819     310.840     37.203    225.898     149.976    0.020000
2     0.009852223     0.005506917     312.763     41.340    225.471     149.681    0.010000
3     0.009689469     0.007488757     314.456     42.009    224.125     148.849    0.030000
4     0.007822109     0.006693843     318.334     38.692    220.934     149.777    0.010000
5     0.010304570     0.006034008     314.435     41.415    227.975     149.553    0.010000
6     0.010954781     0.007894611     315.973     42.311    230.429     149.587    0.020000
7     0.010329532     0.006633657     320.630     39.550    227.346     148.821    0.030000
8     0.007664370     0.005421674     319.546     43.069    229.682     149.608    0.010000
9     0.009481395     0.007486076     315.100     40.909    221.698     149.744    0.020000
10     0.009738463     0.005719425     316.327     41.204    229.306     149.597    0.020000
11     0.009129016     0.006413753     300.541     40.245    258.086     149.525    0.020000
12     0.008978466     0.005170431     301.022     40.974    262.131     149.709    0.010000
13     0.011134829     0.006855484     300.665     39.319    256.304     149.346    0.020000
14     0.010763296     0.005961952     296.601     39.649    259.658     149.569    0.020000
15     0.009872403     0.005919745     297.965     40.720    257.999     149.493    0.020000
16     0.011690833     0.006847776     295.890     39.957    251.979     148.794    0.020000
17     0.008778850     0.006085378     297.573     40.708    255.424     148.853    0.020000
18     0.007882894     0.006021803     294.239     37.367    250.181     148.995    0.020000
19     0.008950640     0.005718033     302.540     38.426    246.576     147.968    0.020000
20     0.007400089     0.006404359     299.338     41.044    254.094     149.961    0.010000
21     0.011164712     0.006745798     297.804     40.159    253.701     149.775    0.020000
22     0.010833912     0.005814831     300.009     37.059    244.220     148.913    0.020000
23     0.007612952     0.005309000     300.103     40.546    244.064     149.180    0.020000
24     0.008325825     0.006990813     300.581     40.675    246.346     149.871    0.020000
25     0.009990702     0.006522874     305.716     38.067    244.154     149.844    0.010000
26     0.010398548     0.005413571     301.295     40.203    239.966     148.885    0.030000
27     0.007430767     0.006827033     307.346     37.870    238.785     149.274    0.010000
28     0.009033702     0.006080928     303.754     40.105    231.115     149.634    0.010000
29     0.010846993     0.006843887     301.975     36.283    235.690     149.333    0.020000
30     0.009695320     0.005656499     310.294     38.280    235.848     149.790    0.020000
31     0.010774232     0.006896934     307.318     41.091    232.576     149.136    0.020000
32     0.008217089     0.007390672     306.979     40.846    228.744     149.363    0.010000
33     0.009733161     0.005841516     308.998     40.785    230.313     149.346    0.030000
34     0.009760492     0.006426055     310.398     41.733    228.745     149.404    0.010000
35     0.009649729     0.006554576     309.511     40.752    232.734     149.934    0.020000
36     0.012251464     0.006016371     314.559     42.743    229.064     149.640    0.010000
37     0.008745000     0.007216060     312.862     42.139    225.874     149.821    0.020000
38     0.009006196     0.005930244     316.832     38.982    227.268     149.280    0.020000
39     0.009161446     0.005622662     317.301     38.998    228.915     149.412    0.020000
40     0.009894913     0.005601057     313.104     41.159    230.731     149.945    0.010000
41     0.010200014     0.007170717     315.479     42.148    227.280     149.584    0.020000
42     0.011711260     0.006141396     313.099     40.798    223.842     148.847    0.020000
43     0.010127932     0.005796783     314.494     41.572    229.268     149.324    0.020000
44     0.009353782     0.006378372     319.058     43.238    230.093     149.857    0.020000
45     0.009469133     0.006597652     321.379     39.137    231.790     149.997    0.020000
46     0.010802381     0.005533577     320.381     38.757    220.749     149.581    0.010000
