fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     236.040     33.192    248.154     152.490    0.410000
1     0.270535231     0.052681677     238.465     147.557    338.537     33.842    0.020000
2     0.029916137     0.024837410     238.881     149.972    339.828     31.399    0.000000
3     0.051815242     0.035802938     238.709     149.666    326.751     30.597    0.020000
4     0.034207512     0.038911015     240.351     149.090    335.942     30.331    0.010000
5     0.033243682     0.034929998     245.784     149.857    341.628     31.319    0.010000
6     0.035107452     0.035402719     242.041     149.493    340.713     30.178    0.010000
7     0.034192476     0.045175686     239.711     149.114    288.920     38.141    0.010000
8     0.025647683     0.051530924     291.123     42.490    239.913     149.510    0.010000
9     0.035806388     0.037532218     290.549     41.599    239.781     148.921    0.010000
10     0.032531250     0.025125137     291.521     40.976    237.883     148.101    0.010000
11     0.026829179     0.018244507     298.100     42.090    237.820     146.691    0.020000
12     0.021147145     0.026456039     297.827     40.238    235.987     147.242    0.000000
13     0.023353210     0.022504972     293.361     39.408    246.255     149.324    0.020000
14     0.037707567     0.021159310     293.684     36.319    242.870     149.788    0.000000
15     0.038501237     0.024065778     297.834     37.163    238.574     149.175    0.010000
16     0.039746363     0.024139598     302.467     39.800    243.923     149.113    0.020000
17     0.042287085     0.028959163     306.656     40.613    246.635     149.216    0.000000
18     0.040689614     0.025151515     300.309     35.317    247.300     149.958    0.020000
19     0.032822192     0.023651358     303.541     37.826    250.737     149.726    0.010000
20     0.046315510     0.030370690     304.322     36.528    249.299     149.990    0.010000
21     0.043451875     0.020873703     313.099     41.159    252.622     149.817    0.010000
22     0.038123481     0.036377028     314.414     41.005    252.080     149.263    0.010000
23     0.025315277     0.024267323     317.513     40.767    248.537     148.955    0.010000
24     0.038989060     0.028179828     312.272     38.578    243.689     149.998    0.010000
25     0.045357365     0.024081476     312.571     38.931    259.013     149.246    0.010000
26     0.043558188     0.023070036     314.545     37.142    255.217     149.952    0.010000
27     0.051169515     0.024166724     318.434     40.253    257.506     149.760    0.010000
28     0.037217781     0.032505624     320.325     40.723    266.845     149.650    0.020000
29     0.043238632     0.026941745     317.465     39.561    254.595     149.399    0.010000
30     0.038165942     0.025661033     313.736     38.739    270.187     148.710    0.010000
31     0.026407547     0.028172687     324.808     41.889    269.014     149.284    0.000000
32     0.034505438     0.034878120     325.835     41.948    267.979     146.924    0.010000
33     0.029381176     0.021948809     324.985     40.618    268.933     149.162    0.020000
34     0.037664656     0.018710073     326.054     40.771    278.726     148.289    0.010000
35     0.027908802     0.028484097     326.863     40.742    278.943     148.833    0.010000
36     0.035381082     0.018124081     327.159     40.563    279.056     148.198    0.010000
37     0.031984299     0.023851875     316.693     35.275    281.035     149.853    0.010000
38     0.061468355     0.021701589     329.905     40.334    279.685     147.683    0.010000
39     0.035219211     0.037865333     325.654     38.213    283.032     147.483    0.020000
40     0.025897058     0.022971576     331.360     39.804    285.596     149.535    0.000000
41     0.039565329     0.025989393     337.814     42.450    280.477     149.411    0.010000
42     0.037676044     0.024573579     329.492     38.590    287.732     149.829    0.010000
43     0.037008725     0.026133038     337.249     39.985    287.479     149.799    0.020000
44     0.064846478     0.029531591     324.197     36.250    287.645     147.342    0.010000
45     0.030907109     0.021798657     323.403     34.255    285.630     147.876    0.010000
46     0.028680628     0.026936017     328.854     35.589    285.872     149.696    0.010000
47     0.044630367     0.026027806     327.374     36.807    287.309     148.301    0.000000
48     0.035628885     0.023204159     334.091     38.618    287.718     148.670    0.010000
49     0.032925583     0.032212533     328.188     36.696    286.180     148.222    0.020000
50     0.033575505     0.022286966     329.063     36.770    287.118     147.212    0.010000
51     0.021045178     0.023185952     334.263     37.869    287.380     147.892    0.010000
52     0.027808644     0.027288601     327.330     35.896    273.406     145.536    0.010000
53     0.022996683     0.024871362     328.688     36.667    286.626     147.162    0.010000
54     0.027225861     0.024813119     323.091     34.838    270.745     144.717    0.010000
55     0.024561988     0.029011572     320.766     33.578    269.257     144.602    0.010000
56     0.022032846     0.023930963     329.461     37.128    268.777     143.194    0.010000
57     0.020852786     0.027595816     326.637     36.108    273.285     144.735    0.010000
58     0.022832114     0.025950247     330.212     37.477    285.833     147.268    0.010000
59     0.030777128     0.030125329     323.914     35.628    269.359     142.806    0.020000
60     0.019861255     0.021881664     323.433     36.046    284.531     145.742    0.000000
61     0.034387577     0.023682892     324.045     35.854    264.433     142.107    0.020000
62     0.024467552     0.021931022     321.052     33.597    271.396     144.613    0.010000
63     0.025942869     0.026524421     312.595     31.887    265.741     141.787    0.000000
64     0.021802876     0.024244923     319.892     35.170    285.449     146.459    0.020000
65     0.034034763     0.025951102     310.884     31.772    281.479     146.783    0.000000
66     0.028882466     0.026439749     312.372     33.825    286.095     144.787    0.010000
67     0.021275738     0.022295669     312.552     34.008    284.097     146.792    0.020000
68     0.027182315     0.026944688     315.007     33.822    287.844     146.123    0.010000
69     0.025367986     0.025500445     309.826     33.490    287.250     146.852    0.010000
70     0.024800867     0.030386347     317.636     35.937    286.163     146.033    0.010000
71     0.021291137     0.027689165     314.731     34.415    287.190     145.797    0.010000
72     0.026221573     0.025750788     313.678     35.178    285.412     146.711    0.010000
73     0.028832749     0.026828289     309.404     32.964    285.220     143.387    0.010000
74     0.022394639     0.030263161     300.930     31.433    283.710     145.983    0.010000
75     0.020508572     0.038553670     303.675     33.359    283.469     145.580    0.010000
76     0.024675524     0.028518852     296.823     30.371    287.222     142.576    0.010000
77     0.023149624     0.034888476     297.621     31.044    287.249     146.190    0.020000
78     0.031415887     0.027920596     306.119     34.047    286.482     145.282    0.000000
79     0.021010464     0.030001823     303.107     33.249    287.723     143.287    0.020000
80     0.020497603     0.023862531     299.480     31.919    285.634     142.086    0.010000
81     0.018520327     0.031581208     308.862     33.989    287.432     145.278    0.010000
82     0.028301297     0.032152213     296.066     31.291    286.208     145.025    0.010000
83     0.031519953     0.028044097     300.726     32.858    287.877     145.689    0.010000
84     0.023962682     0.023235681     308.945     35.677    287.509     145.602    0.010000
85     0.023894552     0.030381940     300.095     33.485    286.362     146.801    0.010000
86     0.031764355     0.026482269     303.047     34.258    285.989     145.983    0.010000
87     0.029880622     0.027739894     294.946     31.831    287.768     146.877    0.010000
88     0.030016469     0.030099025     294.301     32.193    285.948     146.572    0.010000
89     0.023477037     0.040545743     300.116     33.901    287.679     147.310    0.020000
90     0.032104451     0.025068173     292.374     32.314    285.028     146.120    0.000000
91     0.022064108     0.022842554     294.946     32.448    284.826     147.591    0.010000
92     0.033194914     0.026877623     295.023     31.653    285.545     147.209    0.010000
93     0.031404130     0.033802759     291.238     30.608    286.842     145.866    0.010000
94     0.023043282     0.047246646     291.854     31.410    284.737     147.404    0.010000
95     0.028763652     0.031077823     293.888     32.343    287.209     147.659    0.020000
96     0.034079127     0.026230782     296.021     31.974    284.678     144.681    0.000000
97     0.021429747     0.025032718     294.667     32.927    280.959     147.043    0.020000
98     0.028186511     0.020466125     296.149     33.606    282.462     144.512    0.010000
99     0.023351124     0.024826966     295.672     33.234    277.706     143.816    0.010000
100     0.020501815     0.027743565     297.303     33.555    278.266     147.671    0.010000
101     0.030757712     0.030901657     305.925     34.752    282.821     147.106    0.010000
102     0.027372025     0.030808182     298.864     31.622    279.797     146.849    0.020000
103     0.025425369     0.033052810     307.654     34.337    281.140     148.843    0.010000
104     0.033554167     0.027521158     303.958     33.190    268.300     147.117    0.010000
