fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
90     0.001686000     0.001652688     298.049     33.401    286.449     146.938    0.140000
91     0.001539138     0.001694746     298.932     33.608    287.634     147.395    0.140000
92     0.001723310     0.001725791     296.886     33.211    286.357     147.429    0.130000
93     0.001700814     0.001690468     300.380     34.104    287.117     147.441    0.130000
94     0.001775092     0.001670597     299.403     34.037    287.232     148.493    0.140000
95     0.001971825     0.001546167     299.184     33.949    287.496     148.732    0.140000
96     0.001994199     0.001497450     296.290     33.315    285.917     148.026    0.140000
97     0.001722782     0.001682970     297.645     33.796    287.761     148.597    0.130000
98     0.001966957     0.001625556     297.405     33.809    287.181     148.610    0.130000
99     0.002018241     0.001647062     296.753     33.496    287.635     149.534    0.140000
100     0.002506386     0.001684040     301.833     34.270    287.878     149.997    0.140000
101     0.002825263     0.001745306     302.589     34.087    285.605     149.733    0.140000
102     0.002422292     0.001522663     303.633     34.096    282.205     149.511    0.120000
103     0.002381140     0.001541176     304.455     33.663    278.493     149.538    0.150000
104     0.002397274     0.001559602     305.859     33.357    274.047     149.360    0.130000
105     0.002256156     0.001676720     308.842     33.840    273.461     149.927    0.130000
106     0.002589654     0.001580199     312.295     34.096    269.835     149.821    0.140000
107     0.002586104     0.001662930     313.633     33.932    267.991     149.971    0.140000
108     0.002720813     0.001606245     314.905     33.702    264.752     149.846    0.130000
109     0.002343854     0.001554606     317.022     33.859    263.186     149.793    0.140000
110     0.002601373     0.001623600     320.238     33.844    259.141     149.967    0.130000
111     0.002885495     0.001687993     322.232     34.291    258.188     149.436    0.140000
112     0.002414723     0.001490719     322.574     34.190    257.243     149.583    0.130000
113     0.002520480     0.001606630     322.591     33.720    256.591     149.801    0.130000
114     0.002391129     0.001667802     322.669     33.574    253.807     149.870    0.140000
115     0.002635187     0.001531597     325.547     34.160    256.135     149.965    0.140000
116     0.002582776     0.001528885     325.262     34.157    252.874     149.800    0.140000
117     0.002462167     0.001601281     323.471     33.637    256.976     149.849    0.130000
118     0.002769971     0.001586865     324.356     33.969    254.981     149.541    0.130000
119     0.002289077     0.001675403     323.386     34.035    255.321     149.262    0.140000
120     0.002224632     0.001608444     323.077     34.234    258.662     149.781    0.140000
121     0.002475859     0.001598009     321.335     33.964    259.584     149.733    0.130000
122     0.002366729     0.001557304     321.270     34.232    260.127     149.893    0.130000
123     0.002649634     0.001600903     317.660     33.265    262.296     149.621    0.140000
124     0.002530294     0.001628087     317.933     33.753    261.696     149.717    0.140000
125     0.002428145     0.001606722     316.259     33.559    263.181     149.545    0.140000
126     0.002586992     0.001577800     317.178     34.041    266.355     149.959    0.130000
127     0.002553478     0.001703225     313.448     33.178    265.100     149.677    0.130000
128     0.002503981     0.001667653     314.507     33.565    264.686     149.650    0.140000
129     0.002468843     0.001643437     315.317     33.948    267.993     149.973    0.140000
130     0.002619558     0.001595636     315.165     33.763    265.483     149.620    0.130000
131     0.002496165     0.001544229     311.333     33.209    265.564     149.015    0.130000
132     0.002056898     0.001638926     316.448     34.248    267.855     149.895    0.140000
133     0.002696599     0.001638028     313.195     33.686    268.820     149.971    0.130000
134     0.002712324     0.001574548     313.683     33.663    267.182     148.754    0.150000
135     0.001903663     0.001699441     311.061     33.214    270.213     149.995    0.130000
136     0.002696173     0.001599039     312.152     33.433    268.953     149.815    0.130000
137     0.002559079     0.001696213     313.378     33.538    269.970     149.849    0.130000
138     0.002518002     0.001600427     314.421     33.829    269.641     149.894    0.140000
139     0.002657884     0.001622491     311.883     33.119    270.620     149.890    0.140000
140     0.002408359     0.001685536     311.765     33.278    271.011     149.772    0.130000
141     0.002667853     0.001652709     313.183     33.350    271.668     149.795    0.140000
142     0.002410049     0.001623936     312.152     33.204    272.646     149.969    0.130000
143     0.002825303     0.001622649     312.547     33.284    271.741     149.891    0.140000
144     0.002508618     0.001685766     309.390     32.566    271.950     149.275    0.130000
145     0.002165469     0.001724276     311.288     33.082    270.386     148.846    0.140000
146     0.002068301     0.001717735     310.381     32.535    272.658     149.846    0.140000
147     0.002730015     0.001736854     310.876     32.972    274.010     149.942    0.140000
148     0.002661892     0.001753059     311.740     33.051    275.481     149.859    0.130000
149     0.002434579     0.001549224     313.738     33.635    276.959     149.851    0.140000
150     0.002515443     0.001617434     312.798     33.640    275.146     149.466    0.130000
151     0.002151475     0.001634328     309.746     33.027    276.582     149.711    0.130000
152     0.002501862     0.001710520     311.725     33.599    277.289     149.826    0.140000
153     0.002224876     0.001641577     313.267     33.795    278.977     149.989    0.130000
154     0.002613387     0.001630053     311.391     33.743    279.488     149.851    0.130000
155     0.002565912     0.001655126     310.254     33.273    277.696     149.349    0.140000
156     0.002176823     0.001533655     311.827     33.494    280.053     149.491    0.140000
157     0.002371192     0.001590724     310.672     33.287    278.355     149.645    0.140000
158     0.002499997     0.001522075     312.800     33.709    277.382     149.215    0.130000
159     0.002198449     0.001580811     312.959     33.721    281.811     149.800    0.140000
160     0.002693592     0.001575415     310.543     33.111    280.133     149.335    0.130000
161     0.002251341     0.001601707     313.807     33.971    280.059     149.342    0.130000
162     0.002325172     0.001641516     312.346     33.368    278.027     149.190    0.140000
163     0.002186930     0.001584393     317.048     34.448    281.679     149.746    0.140000
164     0.002531206     0.001593871     313.686     33.728    283.372     149.871    0.130000
165     0.002570420     0.001616315     314.091     33.598    281.584     149.461    0.140000
166     0.002404992     0.001534259     310.034     32.755    281.114     149.510    0.130000
167     0.002558180     0.001686445     310.981     32.890    278.164     148.056    0.150000
168     0.001872082     0.001676734     314.723     33.414    281.600     149.299    0.120000
169     0.002267718     0.001609541     309.531     32.347    280.240     148.457    0.140000
