fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     236.040     33.192    248.154     152.490    0.460000
1     0.091190644     0.022774115     238.965     149.991    336.121     30.825    0.010000
2     0.021439632     0.016447840     238.502     149.141    339.466     31.852    0.020000
3     0.015695300     0.016237676     239.840     149.594    328.507     30.786    0.010000
4     0.020344311     0.014845168     239.634     149.410    335.477     30.366    0.020000
5     0.018630007     0.020917471     243.989     149.395    338.555     30.877    0.000000
6     0.018349236     0.017542999     240.741     148.152    342.464     31.207    0.010000
7     0.015536840     0.016589899     238.984     149.881    340.343     30.310    0.020000
8     0.020120427     0.018846167     239.013     148.355    288.744     34.088    0.010000
9     0.016129781     0.017874118     240.943     149.616    297.331     39.493    0.010000
10     0.018564377     0.021854125     303.173     44.118    239.015     149.892    0.020000
11     0.023391603     0.023762016     298.689     41.925    237.781     149.410    0.020000
12     0.020879198     0.011698453     291.711     39.435    238.970     147.938    0.010000
13     0.012211140     0.010357442     292.854     38.757    239.490     149.585    0.010000
14     0.018314648     0.011645631     299.715     40.448    245.596     149.974    0.010000
15     0.021389756     0.014063336     292.727     35.304    245.762     149.918    0.010000
16     0.026312917     0.011877251     302.989     40.262    243.422     149.950    0.020000
17     0.020415630     0.018615693     305.357     40.456    244.380     149.375    0.010000
18     0.016991410     0.012081499     306.835     40.092    245.047     149.771    0.010000
19     0.017409824     0.011353233     306.760     39.256    248.437     149.961    0.010000
20     0.018349031     0.011555398     309.038     39.918    247.817     149.475    0.020000
21     0.018122222     0.012583577     314.354     41.488    250.437     148.938    0.010000
22     0.014859700     0.011507610     310.138     39.291    250.751     149.743    0.010000
23     0.019043781     0.011957311     310.972     39.119    253.775     149.897    0.010000
24     0.019873509     0.012491604     318.656     41.227    253.189     149.819    0.010000
25     0.023330666     0.012712471     317.040     40.150    257.439     149.840    0.020000
26     0.021589056     0.011654025     316.119     39.752    260.304     149.951    0.010000
27     0.017912962     0.012313024     319.323     40.599    258.736     149.940    0.010000
28     0.023083610     0.011536979     321.151     41.387    262.090     149.192    0.020000
29     0.017851256     0.012684830     314.407     36.310    266.517     148.998    0.010000
30     0.016096063     0.009660759     322.611     41.203    273.420     149.916    0.020000
31     0.023265667     0.017389296     317.402     39.430    267.316     149.433    0.010000
32     0.018765774     0.011659247     320.133     40.097    278.130     149.849    0.000000
33     0.023829646     0.012951908     318.951     38.346    275.800     149.415    0.020000
34     0.018845150     0.012030188     324.936     40.439    270.739     148.596    0.020000
35     0.016161382     0.012401385     328.700     41.081    273.139     149.761    0.010000
36     0.024140244     0.012583620     327.040     40.190    278.221     148.022    0.010000
37     0.014713899     0.011859342     323.127     38.035    280.079     149.606    0.010000
38     0.019007782     0.012123544     329.852     40.196    283.338     149.373    0.020000
39     0.018913003     0.013341946     329.613     39.870    284.476     149.732    0.010000
40     0.020434963     0.011846441     327.547     38.308    287.174     149.600    0.010000
41     0.021523273     0.011345427     331.628     39.866    280.722     149.173    0.010000
42     0.016562704     0.014813766     328.216     37.827    287.033     147.830    0.020000
43     0.013187330     0.011636954     336.733     40.417    287.650     147.417    0.010000
44     0.013650933     0.015502388     335.492     39.545    284.407     149.471    0.010000
45     0.021595247     0.011065939     328.669     37.529    264.805     146.083    0.020000
46     0.010493780     0.010388802     331.522     38.063    287.308     149.335    0.000000
47     0.019286519     0.012206742     328.931     36.719    265.035     144.764    0.010000
48     0.010631576     0.011681149     333.837     38.451    266.776     143.652    0.020000
49     0.010870215     0.012881917     335.844     38.799    287.801     146.100    0.020000
50     0.013477070     0.014232047     326.892     34.849    285.044     147.429    0.010000
51     0.015578521     0.011460861     336.160     38.483    284.530     146.865    0.010000
52     0.013642957     0.015393171     329.786     36.565    272.921     145.803    0.010000
53     0.014037097     0.012214374     329.905     36.907    286.205     146.218    0.010000
54     0.011542032     0.011731425     321.906     33.119    287.385     146.764    0.010000
55     0.012937387     0.013030472     329.169     36.718    287.895     147.703    0.020000
56     0.015034171     0.015148621     330.793     36.850    269.775     143.351    0.010000
57     0.010884207     0.012029605     325.447     35.834    270.465     143.886    0.010000
58     0.012601566     0.011505036     328.752     37.200    283.473     146.352    0.020000
59     0.012606353     0.013249303     331.051     37.547    285.011     146.507    0.010000
60     0.011537246     0.011865477     329.115     37.261    284.017     146.217    0.010000
61     0.011446357     0.012239401     322.795     35.748    285.093     146.441    0.010000
62     0.011187972     0.010856223     312.688     31.895    287.162     145.792    0.010000
63     0.010540701     0.014841601     322.567     36.119    286.149     146.147    0.010000
64     0.013536708     0.014474946     320.335     35.380    283.573     145.758    0.020000
65     0.012107259     0.012066687     310.584     31.535    283.302     146.205    0.010000
66     0.012289970     0.014984950     309.590     32.046    283.949     146.902    0.020000
67     0.011535564     0.014592941     315.399     34.791    287.514     146.732    0.010000
68     0.012686749     0.011904808     313.414     34.412    287.582     147.047    0.010000
69     0.013465249     0.011232819     316.726     35.354    287.221     146.500    0.010000
70     0.014370076     0.013033163     305.393     32.664    283.862     145.959    0.020000
71     0.011791158     0.012872903     303.558     31.449    286.857     145.661    0.010000
72     0.011213074     0.014741572     309.719     34.130    282.268     145.352    0.010000
73     0.011911441     0.012121012     310.329     34.558    283.892     146.182    0.020000
74     0.013799259     0.011963254     302.817     32.066    281.958     145.778    0.010000
75     0.012409107     0.011593171     308.256     34.009    283.579     145.930    0.000000
76     0.012427521     0.014050464     306.991     34.079    285.522     145.076    0.020000
77     0.012479546     0.012255441     306.568     33.021    285.568     146.275    0.020000
78     0.012526791     0.012472671     303.835     33.340    287.904     147.274    0.010000
79     0.012535803     0.014229706     303.308     33.330    287.982     147.282    0.010000
80     0.012446811     0.014024608     298.507     31.416    287.489     147.217    0.020000
81     0.013325419     0.014220990     300.976     33.241    287.473     144.278    0.000000
82     0.011751819     0.013485357     303.270     33.449    286.026     146.821    0.020000
83     0.014148664     0.011978392     308.833     35.329    287.273     145.023    0.010000
84     0.010747356     0.012524310     300.826     33.100    283.018     145.938    0.010000
85     0.012502217     0.011076910     299.741     33.505    286.228     147.131    0.020000
86     0.013213244     0.012655780     297.126     31.405    286.505     146.676    0.010000
87     0.011783582     0.016143704     303.467     34.409    287.291     146.743    0.010000
88     0.012744130     0.014554624     297.801     33.486    283.792     146.801    0.010000
89     0.012779836     0.012437223     305.114     35.209    284.854     146.982    0.000000
90     0.014591732     0.012018864     303.784     34.623    283.447     146.761    0.020000
91     0.015169377     0.011107961     292.067     31.297    285.575     147.394    0.020000
92     0.016164513     0.015232731     297.933     33.304    284.825     147.164    0.000000
93     0.013580884     0.015155339     295.425     32.656    282.666     145.205    0.010000
94     0.010959999     0.013660300     304.497     35.594    279.897     145.332    0.020000
95     0.011203276     0.015234115     293.373     32.666    285.942     147.233    0.010000
96     0.015087655     0.013254677     298.285     33.662    280.677     145.519    0.010000
97     0.010092470     0.014141099     307.292     35.828    283.870     147.523    0.020000
98     0.013283467     0.012696884     293.458     33.093    284.915     148.080    0.010000
99     0.016726404     0.012878531     300.416     34.292    287.724     149.202    0.010000
100     0.018537119     0.012073955     301.220     34.196    280.257     146.826    0.010000
101     0.013569961     0.012773540     299.091     33.592    286.218     148.434    0.020000
102     0.013969655     0.014406688     300.423     33.352    279.566     148.973    0.010000
103     0.019711440     0.013171150     308.391     34.486    273.339     148.962    0.020000
104     0.016023841     0.012729368     305.115     33.039    273.434     149.684    0.010000
105     0.019105138     0.013351240     305.687     32.964    271.747     149.535    0.010000
106     0.018496100     0.012875969     316.216     34.710    265.468     148.306    0.010000
107     0.012604040     0.013260253     316.798     34.796    265.309     149.676    0.020000
108     0.021302270     0.012260787     309.354     30.559    262.391     147.940    0.010000
109     0.013256773     0.022475101     318.953     34.264    267.328     148.995    0.010000
110     0.015467222     0.014089218     324.453     34.810    256.158     148.124    0.020000
111     0.013226603     0.014080252     317.741     33.473    258.503     149.867    0.000000
112     0.020408755     0.012841148     318.549     31.362    256.465     149.238    0.020000
113     0.015433717     0.016781449     322.167     33.921    252.932     149.077    0.010000
114     0.016968111     0.015225846     322.461     33.546    252.299     148.549    0.010000
115     0.018428726     0.011318019     322.981     33.553    253.740     149.723    0.010000
116     0.018226329     0.012756567     323.859     31.885    253.295     149.381    0.020000
117     0.017172404     0.013077276     324.425     33.891    254.129     148.385    0.010000
118     0.015239129     0.012874191     325.027     34.092    253.932     149.384    0.010000
119     0.021615801     0.012336115     323.083     34.126    254.773     149.236    0.020000
120     0.017962309     0.011859244     317.130     32.260    255.781     149.156    0.010000
121     0.024140082     0.014867235     318.007     32.800    256.844     149.187    0.020000
122     0.019778440     0.016755290     316.525     30.771    257.403     148.512    0.000000
123     0.016484225     0.019181214     316.912     32.749    261.513     147.963    0.020000
124     0.013724086     0.014179843     311.930     32.298    261.759     149.202    0.010000
125     0.017954299     0.014786926     312.443     30.865    266.733     148.525    0.010000
126     0.015081906     0.015877260     313.297     33.047    264.579     148.509    0.010000
127     0.013976104     0.016742364     314.788     33.361    265.100     149.396    0.020000
