fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
90     0.007608608     0.008661327     298.057     33.344    286.825     148.391    0.020000
91     0.007733295     0.006635332     295.796     32.751    284.251     146.145    0.020000
92     0.006785030     0.007092189     296.414     33.036    286.615     147.344    0.030000
93     0.006886656     0.007467739     298.366     33.736    287.889     148.192    0.020000
94     0.007644378     0.006331851     300.470     34.497    284.650     147.029    0.010000
95     0.006565816     0.006187212     299.178     34.205    286.972     148.593    0.020000
96     0.007503507     0.006337657     296.873     33.399    287.281     148.467    0.020000
97     0.008226028     0.005832260     300.523     34.463    283.068     147.245    0.020000
98     0.007311665     0.006094451     302.712     35.046    285.393     148.464    0.020000
99     0.008718943     0.006412469     296.409     33.290    284.706     148.812    0.010000
100     0.007609971     0.006477579     300.316     33.988    287.746     148.864    0.030000
101     0.009259005     0.006776750     299.420     31.904    284.702     149.383    0.020000
102     0.009907332     0.007131792     304.448     34.320    284.692     149.933    0.020000
103     0.012373891     0.006939227     306.457     34.226    276.868     148.629    0.010000
104     0.007024181     0.005667398     309.349     34.323    277.203     149.416    0.020000
105     0.010614966     0.006260326     309.139     33.752    271.919     149.623    0.020000
106     0.010523469     0.006025985     316.001     34.723    277.331     149.270    0.030000
107     0.008915581     0.006510829     309.616     32.936    265.417     149.001    0.010000
108     0.009330976     0.007055960     317.941     34.509    264.931     149.452    0.020000
109     0.009754102     0.006852761     315.405     31.844    262.038     149.499    0.020000
110     0.009180210     0.006722314     319.018     33.632    257.992     149.290    0.020000
111     0.007262829     0.006656898     323.903     34.767    259.152     149.389    0.010000
112     0.009160903     0.006482222     320.365     33.614    256.712     149.797    0.020000
113     0.011835872     0.006025283     321.431     33.406    253.534     148.959    0.020000
114     0.008416318     0.006686026     324.118     34.145    253.099     149.348    0.030000
115     0.009631668     0.006104401     325.063     34.308    257.522     149.958    0.020000
116     0.009326370     0.006380076     321.364     32.878    253.684     149.665    0.020000
117     0.009798879     0.006183966     322.386     33.575    254.108     148.577    0.010000
118     0.007520610     0.006431415     326.025     34.329    251.931     148.152    0.030000
119     0.007110955     0.006794493     325.467     34.485    254.275     148.842    0.010000
120     0.007691069     0.006195135     328.275     35.273    254.835     148.773    0.020000
121     0.008947939     0.006076103     317.865     32.533    255.385     148.348    0.020000
122     0.008440685     0.006734451     319.700     33.971    257.183     148.895    0.020000
123     0.008633910     0.006176967     319.261     33.605    262.146     149.950    0.020000
124     0.010906179     0.006373040     317.000     33.765    259.609     148.779    0.010000
125     0.009245139     0.006357721     321.023     34.729    263.343     148.846    0.020000
126     0.009740839     0.005805339     315.800     33.613    267.233     149.701    0.030000
127     0.009332581     0.006212069     314.499     33.398    265.633     149.456    0.010000
128     0.009657809     0.006421303     316.898     34.111    265.309     149.968    0.020000
129     0.011166712     0.006451522     313.533     33.346    265.867     149.753    0.020000
130     0.010168231     0.008032234     314.163     33.869    266.421     149.729    0.020000
131     0.010425684     0.005718719     313.130     33.321    267.461     149.750    0.020000
132     0.009097783     0.006189370     310.782     32.911    267.799     149.636    0.020000
133     0.008751514     0.006688184     309.937     32.838    269.707     148.741    0.020000
