fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     236.040     33.192    248.154     152.490    1.180000
1     0.023613792     0.007153444     244.155     149.862    337.409     32.400    0.040000
2     0.004913732     0.003681143     240.765     149.921    341.622     30.383    0.050000
3     0.005278972     0.005136095     244.300     149.992    328.422     30.864    0.040000
4     0.005123975     0.004716176     238.131     149.762    335.548     30.855    0.040000
5     0.005368932     0.004492807     240.236     149.813    342.531     31.317    0.050000
6     0.004917955     0.004146604     239.808     149.903    341.575     30.386    0.050000
7     0.005036032     0.005064417     244.416     149.868    320.674     36.848    0.040000
8     0.005076226     0.004292213     296.753     44.239    238.892     149.504    0.050000
9     0.004365165     0.008271749     289.579     41.185    239.796     149.547    0.040000
10     0.004832713     0.002827283     291.608     40.872    239.966     149.651    0.050000
11     0.005139014     0.002807224     290.217     39.837    239.965     149.302    0.040000
12     0.004548067     0.002910234     290.909     39.150    241.039     149.882    0.040000
13     0.005786852     0.002976843     295.822     40.199    239.205     149.193    0.050000
14     0.004265438     0.003214115     296.529     39.616    241.857     149.814    0.040000
15     0.005333396     0.002996184     301.664     40.393    239.771     149.014    0.040000
16     0.004615792     0.003102174     300.092     39.086    242.625     149.020    0.060000
17     0.004003123     0.002885428     302.160     38.973    243.951     149.309    0.040000
18     0.004935430     0.003104485     307.733     40.007    245.792     149.978    0.040000
19     0.005767634     0.003200975     310.390     40.714    247.031     149.578    0.050000
20     0.004577943     0.003176669     311.971     40.719    248.444     149.596    0.040000
21     0.004658822     0.003122178     310.762     39.894    249.651     148.984    0.050000
22     0.004087938     0.003009187     313.453     40.095    253.147     149.965    0.040000
23     0.005697286     0.003082819     315.623     40.289    251.218     149.655    0.040000
24     0.004498050     0.003097821     317.200     40.419    253.210     149.781    0.050000
25     0.005063808     0.003004773     317.726     40.397    258.131     149.772    0.040000
26     0.005534142     0.002901753     319.440     40.664    259.725     149.988    0.050000
27     0.004809649     0.002889177     320.447     41.018    263.608     149.664    0.050000
28     0.005108581     0.003038819     318.900     40.539    262.545     149.885    0.040000
29     0.005654706     0.003057280     320.120     40.624    265.025     149.181    0.050000
30     0.004297713     0.002980887     319.318     40.254    266.622     149.351    0.040000
31     0.004193528     0.002729222     321.216     40.511    270.944     149.985    0.040000
32     0.005617251     0.002781738     324.123     41.237    273.905     149.962    0.040000
33     0.005499540     0.002942046     325.937     40.988    275.787     149.931    0.050000
34     0.005589156     0.002804769     327.090     41.346    272.673     149.539    0.040000
35     0.004586655     0.003033981     329.319     41.235    277.728     149.960    0.050000
36     0.005180875     0.003135069     328.078     40.445    277.970     149.764    0.040000
37     0.004893262     0.003218402     326.558     39.556    282.386     149.879    0.050000
38     0.004991072     0.002838024     330.222     40.204    282.386     149.964    0.040000
39     0.005042772     0.002915079     331.338     40.334    283.851     149.932    0.050000
40     0.005553356     0.002969294     330.906     39.654    286.939     149.495    0.040000
41     0.005116574     0.002877688     331.356     39.500    287.630     149.536    0.040000
42     0.004848500     0.002900677     332.400     39.115    285.295     146.973    0.050000
43     0.003260413     0.003066756     330.517     38.132    287.754     148.705    0.050000
44     0.004131239     0.002916543     332.071     38.387    287.123     149.838    0.040000
45     0.005483399     0.003166177     332.208     38.306    285.604     148.972    0.040000
46     0.004617915     0.003038905     335.355     39.173    287.472     149.087    0.050000
47     0.004524899     0.003061513     334.270     38.393    286.935     148.691    0.040000
48     0.003948302     0.002715763     334.015     38.451    287.765     148.621    0.050000
49     0.003992244     0.003015111     331.823     37.644    287.265     147.786    0.040000
50     0.003693685     0.003017065     335.146     38.325    287.202     148.474    0.050000
51     0.003755213     0.003036181     333.894     38.165    287.240     148.330    0.040000
52     0.003748422     0.003084137     330.607     37.024    287.369     147.244    0.050000
53     0.003148735     0.002810675     328.871     36.650    287.512     147.891    0.040000
54     0.003536021     0.002849671     331.652     37.439    286.462     146.918    0.050000
55     0.003177647     0.003294601     325.971     36.036    286.389     146.944    0.050000
56     0.003431744     0.002916453     329.895     37.045    287.612     147.594    0.040000
57     0.003555276     0.003075070     327.996     36.771    287.538     147.081    0.050000
58     0.003217007     0.002838046     327.029     36.621    287.348     147.376    0.040000
59     0.003214374     0.003126007     324.880     36.164    287.904     147.530    0.050000
60     0.003308256     0.002968319     314.507     32.178    287.890     147.363    0.040000
61     0.003210959     0.003358976     321.030     35.420    286.273     146.192    0.050000
62     0.002854225     0.003339055     322.160     35.655    283.362     146.206    0.040000
63     0.003162655     0.003254833     319.885     35.391    286.450     146.639    0.040000
64     0.003090794     0.003347035     318.119     34.877    287.141     146.715    0.050000
65     0.003164863     0.002998744     316.034     34.264    287.952     147.369    0.040000
66     0.003420660     0.002871359     319.255     35.559    287.857     146.416    0.050000
67     0.003002179     0.002984732     316.897     35.125    287.988     147.392    0.040000
68     0.003528438     0.003095936     312.352     34.227    287.934     146.859    0.050000
69     0.003350735     0.002953249     311.856     34.185    286.731     146.853    0.050000
70     0.003199995     0.003158026     310.675     33.750    286.960     146.541    0.040000
71     0.003346123     0.003275285     308.788     33.834    287.906     145.664    0.040000
72     0.002812094     0.003229664     304.043     31.730    287.950     146.552    0.050000
73     0.002885779     0.003861431     311.244     33.582    286.964     145.957    0.050000
74     0.002839655     0.003288298     307.930     32.840    287.825     146.320    0.040000
75     0.003195470     0.003136003     309.674     33.211    287.287     146.196    0.050000
76     0.003016879     0.003371550     305.812     33.731    287.658     147.197    0.040000
77     0.003525732     0.002967604     300.291     31.736    287.286     147.012    0.050000
78     0.003311800     0.004352859     299.266     31.514    287.992     146.531    0.040000
79     0.003077717     0.003803692     303.829     33.590    286.611     146.607    0.040000
80     0.003236319     0.003618022     303.828     33.401    287.151     146.775    0.050000
81     0.003185800     0.003420008     303.330     33.679    287.363     147.268    0.040000
82     0.003359692     0.003268969     302.095     33.604    287.753     146.851    0.050000
83     0.003471090     0.003146088     302.263     33.651    287.796     145.494    0.040000
