fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     311.226     41.148    234.598     151.650    0.310000
1     0.036391184     0.021982396     316.954     39.123    219.905     148.277    0.010000
2     0.014979861     0.009897741     311.270     40.414    224.936     149.721    0.010000
3     0.021831989     0.012418935     309.804     36.624    223.984     149.095    0.010000
4     0.016157972     0.012766906     315.973     39.647    228.179     149.610    0.020000
5     0.023412639     0.014716915     315.579     41.867    230.646     149.731    0.020000
6     0.022497045     0.017393606     311.935     37.484    230.620     149.865    0.000000
7     0.020129591     0.011572807     314.435     41.414    219.697     149.402    0.010000
8     0.018870100     0.016986052     319.266     43.100    226.409     148.952    0.010000
9     0.017563296     0.012214469     316.014     41.205    220.973     149.377    0.010000
10     0.018557072     0.011600282     316.483     38.892    232.673     149.858    0.010000
11     0.019638417     0.011086977     300.009     40.154    258.303     148.346    0.010000
12     0.013890990     0.014225014     297.185     37.963    251.882     148.064    0.020000
13     0.013693045     0.010870404     299.979     37.626    255.373     147.140    0.010000
14     0.013798915     0.010879831     300.841     41.508    257.823     149.917    0.010000
15     0.022487484     0.018329775     298.701     38.851    252.291     148.855    0.020000
16     0.014340851     0.013213476     296.366     40.042    256.036     149.399    0.010000
17     0.022168322     0.013517985     299.979     41.874    256.617     149.498    0.010000
18     0.019074213     0.015544974     300.767     37.990    254.325     149.277    0.010000
19     0.017811498     0.009394162     296.741     38.416    249.978     149.701    0.010000
20     0.018991943     0.012272405     298.118     38.513    249.422     149.827    0.010000
21     0.020504363     0.011977940     302.488     38.213    253.730     149.762    0.010000
22     0.023035569     0.012056049     299.865     37.196    246.648     149.158    0.010000
23     0.019461976     0.010904649     304.169     40.317    243.168     148.621    0.020000
24     0.015780842     0.016754109     299.291     40.132    246.577     149.459    0.010000
25     0.019180248     0.010771898     307.718     38.868    246.240     149.618    0.010000
26     0.028831786     0.010056519     301.131     39.966    244.844     149.595    0.010000
27     0.022682030     0.011778465     304.061     38.783    238.575     149.798    0.010000
28     0.019616665     0.011174481     303.417     40.063    234.600     149.570    0.010000
29     0.021232115     0.012482672     305.000     40.576    236.273     149.689    0.020000
30     0.019620091     0.013090597     308.318     41.425    234.108     149.597    0.010000
31     0.021069152     0.012310545     310.727     37.752    229.617     149.356    0.010000
32     0.017155651     0.011932189     313.164     42.658    229.065     149.255    0.010000
33     0.015772214     0.019068522     310.146     41.333    231.195     149.533    0.010000
34     0.021285964     0.011965385     310.004     41.357    220.515     149.345    0.010000
35     0.020115441     0.012878946     308.551     40.598    230.995     149.790    0.020000
36     0.019308278     0.011139244     307.998     36.572    221.099     149.189    0.010000
37     0.018352764     0.011262578     313.426     42.172    219.681     149.767    0.010000
38     0.024646591     0.017509911     311.050     40.813    217.991     149.275    0.010000
39     0.022072759     0.011134001     314.304     42.235    222.975     148.350    0.020000
40     0.014039115     0.012960954     312.006     40.859    220.477     149.545    0.000000
41     0.018453421     0.011400403     312.988     41.137    229.299     149.737    0.010000
42     0.020667451     0.013456102     313.762     41.286    218.724     148.661    0.020000
43     0.016182452     0.012846822     313.062     40.334    229.737     149.785    0.000000
44     0.024511714     0.011216544     318.804     41.007    227.330     148.586    0.020000
45     0.015513078     0.012856772     314.081     40.597    229.199     149.837    0.010000
46     0.017765179     0.013227599     317.452     41.953    228.787     148.469    0.020000
47     0.014991326     0.012424875     320.799     38.797    229.485     149.587    0.000000
48     0.019696357     0.011661171     316.339     41.178    222.919     149.967    0.010000
49     0.021016141     0.014285263     319.329     39.461    225.044     148.796    0.010000
50     0.017903233     0.011890544     317.875     41.302    226.905     149.892    0.010000
51     0.024024341     0.017081719     321.039     39.752    233.230     149.641    0.020000
52     0.020785322     0.011620435     318.847     41.283    227.338     149.516    0.010000
53     0.020139754     0.013820461     317.630     40.216    236.863     149.515    0.010000
54     0.019938426     0.011293692     320.166     40.929    233.838     149.197    0.010000
55     0.014830987     0.012311285     327.598     43.362    230.398     149.690    0.020000
56     0.019548062     0.013770985     323.354     41.630    234.985     149.505    0.000000
57     0.019260021     0.011296309     324.931     41.368    236.929     149.618    0.010000
58     0.022059258     0.011548273     320.436     38.559    238.575     149.850    0.010000
59     0.018912561     0.009722112     328.484     42.015    236.897     149.719    0.020000
60     0.020715551     0.013459091     323.821     39.782    235.998     149.502    0.010000
61     0.019808836     0.011711422     325.312     40.014    237.115     149.230    0.010000
62     0.016623385     0.011811012     325.211     39.349    238.669     148.795    0.010000
63     0.014386597     0.011745191     328.117     40.081    244.130     149.346    0.010000
64     0.016378248     0.013037341     325.559     39.006    238.221     148.935    0.020000
65     0.015302223     0.010146686     327.608     38.864    247.227     148.652    0.010000
66     0.016864153     0.013293014     325.976     38.245    240.451     148.318    0.010000
67     0.016638637     0.013655937     332.638     40.090    240.154     148.804    0.010000
68     0.016485630     0.015284198     328.444     37.744    250.144     148.946    0.010000
69     0.015654450     0.012456546     335.693     40.055    252.096     149.261    0.020000
70     0.016485920     0.013743507     335.700     35.631    248.795     149.698    0.000000
71     0.018501561     0.011748848     331.283     38.060    249.814     149.990    0.000000
72     0.018433478     0.014275717     336.196     35.055    261.023     149.383    0.020000
73     0.017712312     0.010313506     330.188     36.759    256.514     149.826    0.010000
74     0.026463952     0.014756572     332.434     36.940    256.484     148.207    0.010000
75     0.013557187     0.011369138     338.206     38.637    264.627     149.993    0.020000
76     0.021026695     0.014070411     339.144     38.758    258.793     149.583    0.000000
77     0.023917049     0.013036153     339.269     38.563    259.925     149.613    0.020000
78     0.020769199     0.011954784     340.368     38.792    271.234     149.870    0.010000
79     0.018814022     0.011773323     336.413     37.009    259.204     148.792    0.010000
80     0.014688105     0.011493892     342.284     39.030    264.618     149.678    0.010000
81     0.018007459     0.010948400     334.285     35.521    266.850     149.933    0.010000
82     0.020458193     0.010330239     338.363     37.207    263.733     149.638    0.020000
83     0.018858852     0.012519962     337.986     36.642    271.568     149.165    0.010000
84     0.018359339     0.011007263     340.432     36.980    264.305     148.502    0.000000
85     0.015631994     0.012934479     338.027     36.456    268.172     149.402    0.020000
86     0.018318778     0.011370305     335.049     35.172    259.270     147.437    0.010000
87     0.012908033     0.011241244     337.266     36.170    264.942     148.229    0.010000
88     0.013827337     0.010992247     336.305     35.469    258.531     144.903    0.010000
89     0.010249333     0.012189141     338.125     35.667    265.695     148.701    0.010000
90     0.018732004     0.012299579     342.751     37.058    261.829     147.181    0.020000
91     0.013602704     0.012446200     337.668     35.717    268.406     149.763    0.010000
92     0.022118356     0.011591148     340.976     34.779    262.255     146.809    0.010000
93     0.011962376     0.011927661     338.423     35.704    262.331     146.170    0.010000
94     0.013457038     0.012722008     341.860     33.301    267.605     148.767    0.010000
95     0.020382484     0.015561676     343.494     37.075    265.909     147.488    0.010000
96     0.013312072     0.017536268     341.120     32.922    264.364     147.228    0.020000
97     0.011513174     0.014684509     343.927     37.151    266.318     147.313    0.010000
98     0.012910058     0.014592925     335.705     32.686    265.861     146.962    0.010000
99     0.014558058     0.013959968     342.373     35.240    266.687     146.843    0.010000
100     0.012015468     0.011984815     341.198     36.023    262.952     146.670    0.010000
101     0.012397785     0.013819845     341.829     33.355    257.416     144.302    0.020000
102     0.010906044     0.013271178     342.108     33.272    270.853     147.886    0.000000
103     0.016402040     0.013979604     341.882     34.623    267.326     146.920    0.010000
104     0.013658060     0.012380003     343.232     35.856    260.401     145.109    0.020000
105     0.011545453     0.013770673     343.009     34.598    257.002     143.024    0.010000
106     0.009890646     0.013554878     342.783     34.835    261.180     144.961    0.010000
107     0.012024554     0.012329579     342.400     36.684    256.234     142.581    0.010000
108     0.010302200     0.011511057     341.893     34.491    256.864     143.085    0.010000
109     0.012022219     0.012300408     340.172     32.253    249.790     140.381    0.020000
110     0.010183548     0.015072787     341.966     34.064    259.722     144.726    0.010000
111     0.016602660     0.012667726     342.864     36.119    251.851     141.500    0.010000
112     0.010586065     0.012747966     342.129     32.689    259.417     142.959    0.010000
113     0.011239660     0.012062931     342.984     34.275    256.374     142.447    0.010000
114     0.009796977     0.014129704     343.606     33.416    263.516     144.810    0.010000
115     0.012392619     0.012360032     343.964     32.913    259.953     144.137    0.020000
116     0.013036270     0.015505248     341.539     32.271    258.648     143.767    0.010000
117     0.010853257     0.013754218     343.705     32.693    241.626     137.669    0.010000
118     0.010074223     0.013139019     343.222     34.813    246.599     140.529    0.010000
119     0.012759292     0.013178479     341.729     32.688    247.230     139.930    0.010000
120     0.010695248     0.013146851     343.234     32.307    231.267     135.874    0.010000
121     0.010403754     0.013044041     343.910     32.792    239.423     139.421    0.020000
122     0.013687082     0.013750345     342.246     32.806    233.813     138.079    0.000000
123     0.011172987     0.013373764     342.931     33.078    218.446     133.127    0.010000
124     0.011015857     0.014429150     340.346     30.782    221.941     135.726    0.010000
125     0.013602357     0.016013213     342.408     31.792    215.853     134.327    0.020000
126     0.009527499     0.015026461     339.612     31.013    217.547     136.110    0.010000
127     0.014494488     0.017987572     339.845     30.479    217.643     137.406    0.010000
128     0.013547547     0.018772023     339.913     30.251    224.219     141.623    0.020000
129     0.014503541     0.021204092     343.892     31.725    246.149     146.502    0.010000
130     0.015756819     0.016554590     343.406     30.976    247.658     149.909    0.010000
131     0.027016219     0.016315060     343.103     31.106    237.881     148.729    0.010000
132     0.016961588     0.014698771     343.705     31.685    242.933     149.744    0.010000
133     0.024735393     0.012564041     343.025     30.395    251.888     149.789    0.010000
134     0.020461755     0.027457885     341.004     30.005    265.228     149.847    0.010000
135     0.018624360     0.022977691     340.645     30.181    259.974     149.723    0.010000
136     0.018395750     0.023359738     341.994     30.090    262.599     149.739    0.020000
137     0.017918352     0.023780426     342.537     30.395    252.319     149.567    0.000000
138     0.017071133     0.020803858     342.958     30.681    250.763     149.878    0.020000
139     0.016322976     0.020266220     337.717     31.029    250.313     149.975    0.010000
140     0.022572741     0.018229097     343.013     31.414    267.621     149.480    0.010000
141     0.021915469     0.015926078     343.132     30.317    263.623     149.792    0.010000
142     0.024428988     0.017379941     342.890     30.629    258.911     149.940    0.020000
143     0.025180085     0.022820015     343.131     30.795    268.420     149.714    0.010000
144     0.019578774     0.018062457     339.789     30.319    257.790     149.626    0.010000
145     0.021639649     0.018727355     342.825     30.274    262.849     149.832    0.010000
146     0.020139879     0.030044425     340.644     30.422    268.537     149.425    0.010000
147     0.016314482     0.020370929     264.512     149.786    340.228     31.240    0.010000
148     0.018988719     0.019384770     342.908     30.259    258.446     149.869    0.010000
149     0.016598469     0.019907810     343.928     31.316    262.147     149.888    0.020000
150     0.017387141     0.015314150     340.182     30.231    270.296     149.576    0.010000
151     0.019736309     0.021019002     264.141     149.064    332.260     30.160    0.010000
152     0.014230709     0.019428922     340.044     30.231    270.450     149.774    0.010000
153     0.020664630     0.022169698     342.404     30.877    266.098     148.835    0.020000
154     0.015538999     0.018637963     343.495     30.971    271.345     149.771    0.010000
155     0.022340983     0.020325694     340.469     30.479    270.681     149.855    0.000000
156     0.021733474     0.016685899     342.889     31.259    268.130     148.872    0.020000
157     0.014373884     0.016422037     342.914     30.765    270.660     149.678    0.010000
158     0.020336470     0.013798922     275.033     149.090    335.925     30.329    0.020000
159     0.017359825     0.019717969     339.656     30.721    275.073     149.237    0.000000
160     0.018231908     0.015929595     343.709     31.675    265.793     148.615    0.020000
161     0.015656179     0.014178071     341.969     30.038    269.491     149.761    0.000000
162     0.020697495     0.018753521     340.495     30.073    264.532     148.456    0.020000
163     0.016314024     0.022034161     341.326     30.207    278.458     149.441    0.010000
164     0.018340578     0.020919915     343.960     32.700    277.025     149.954    0.020000
165     0.019859945     0.012907813     340.913     30.016    282.784     149.633    0.000000
166     0.020678008     0.020180127     342.368     31.987    276.384     149.526    0.020000
167     0.016759265     0.015294130     343.686     31.757    277.709     148.995    0.010000
168     0.014602129     0.015901921     343.489     32.201    284.826     149.994    0.010000
169     0.021018974     0.014124938     341.229     30.621    282.692     149.117    0.010000
170     0.020181388     0.022032820     342.958     30.611    285.999     149.363    0.010000
171     0.018487444     0.016419578     340.318     31.164    272.956     149.990    0.010000
172     0.022089226     0.018835813     343.475     32.303    270.887     149.840    0.010000
173     0.023780404     0.019043151     336.935     31.421    275.356     149.284    0.010000
174     0.018344397     0.014504761     340.017     33.094    278.792     147.875    0.020000
175     0.015560934     0.015192828     342.032     32.201    275.621     149.276    0.010000
176     0.016830921     0.013583762     343.978     34.556    277.814     149.277    0.020000
177     0.018750075     0.014979905     342.115     33.189    279.316     148.940    0.000000
178     0.016978338     0.012873200     339.174     32.270    264.376     147.581    0.020000
179     0.015355545     0.013409617     337.197     31.211    278.402     149.543    0.000000
