fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     287.732     39.984    263.132     151.878    0.230000
1     0.111713089     0.077559710     301.651     44.155    254.423     149.336    0.010000
2     0.068355173     0.088921458     298.907     41.882    252.741     149.365    0.010000
3     0.078545801     0.039796840     297.885     41.073    251.910     148.549    0.010000
4     0.066162832     0.041073710     295.965     41.835    256.298     149.290    0.020000
5     0.077907816     0.055267375     299.071     43.096    252.137     148.314    0.000000
6     0.048309017     0.065875366     299.578     40.053    250.858     148.735    0.010000
7     0.090018071     0.040461250     293.490     40.352    246.915     147.614    0.010000
8     0.059358072     0.058058891     295.836     41.946    231.559     144.737    0.010000
9     0.051576573     0.061811183     288.512     37.632    235.360     145.438    0.010000
10     0.054775115     0.042491067     292.984     40.720    242.693     147.540    0.000000
11     0.055386432     0.061358504     290.948     45.596    277.497     147.798    0.020000
12     0.080529377     0.087300360     301.316     46.254    278.696     145.359    0.000000
13     0.045018092     0.054463614     293.761     45.369    284.178     149.448    0.020000
14     0.116212957     0.042798568     290.070     44.381    287.953     146.623    0.010000
15     0.041880064     0.041449390     289.672     44.340    270.229     147.643    0.000000
16     0.055256020     0.041674964     296.492     45.921    268.990     143.901    0.020000
17     0.037796501     0.043303229     300.201     47.719    267.525     146.965    0.000000
18     0.050537776     0.044077706     290.996     46.349    282.442     149.990    0.010000
19     0.092533857     0.049153727     288.729     44.898    281.967     149.468    0.010000
20     0.066495344     0.041926604     289.076     44.172    279.438     149.799    0.010000
21     0.083552986     0.047345977     293.318     45.509    284.121     149.532    0.010000
22     0.090367973     0.054490909     294.900     47.248    279.525     149.294    0.010000
23     0.048720762     0.048546746     306.155     49.275    280.633     149.770    0.010000
24     0.074008480     0.064562373     298.954     45.453    249.237     145.701    0.010000
25     0.046103612     0.037351169     292.258     45.069    243.448     145.225    0.010000
26     0.046962533     0.048602019     294.285     45.317    260.550     146.952    0.010000
27     0.058289345     0.048764195     289.798     41.311    271.021     148.676    0.010000
28     0.069107279     0.050971415     298.206     45.066    234.514     143.765    0.010000
29     0.047661036     0.086354040     296.703     45.313    255.405     148.638    0.010000
30     0.079848833     0.049629703     300.553     44.488    236.830     144.599    0.010000
31     0.052174162     0.038408052     289.773     42.737    231.068     143.633    0.010000
32     0.057242941     0.044449605     290.647     38.632    231.982     144.053    0.010000
33     0.055688534     0.043692946     289.358     39.458    227.550     144.844    0.010000
34     0.050997879     0.061046105     288.647     41.277    233.177     145.502    0.000000
35     0.046803247     0.050690755     292.265     42.333    234.743     147.057    0.020000
36     0.050311264     0.051287774     295.670     39.404    260.970     149.623    0.010000
37     0.063648671     0.046195574     297.394     43.240    258.578     149.582    0.000000
38     0.104910500     0.067619547     296.068     39.912    254.166     149.602    0.010000
39     0.071070187     0.051150832     299.121     39.853    249.680     149.827    0.020000
40     0.086069733     0.049425256     290.632     40.861    247.604     148.090    0.000000
41     0.054029305     0.058681212     302.671     43.983    249.496     149.522    0.010000
42     0.090834573     0.055184539     301.623     42.952    243.373     149.630    0.020000
43     0.073181905     0.054080527     289.406     39.083    260.649     148.837    0.000000
44     0.057405151     0.043725729     292.276     37.672    259.278     148.725    0.010000
45     0.053181443     0.047207896     300.329     39.798    255.373     149.689    0.010000
46     0.069768883     0.070688091     288.840     36.781    259.825     149.714    0.010000
47     0.075834297     0.052753955     293.864     41.038    254.281     149.106    0.010000
48     0.076238908     0.050139036     302.034     39.347    262.068     149.578    0.010000
49     0.073824406     0.043568589     292.478     40.038    256.952     149.580    0.010000
50     0.065342724     0.041384686     301.381     39.075    264.645     149.839    0.010000
51     0.096419767     0.056123879     295.907     39.854    250.513     149.648    0.010000
52     0.081725746     0.044141263     299.323     37.783    259.817     148.570    0.010000
53     0.055443916     0.046849970     305.652     39.593    246.810     146.943    0.010000
54     0.079716340     0.067597173     294.918     36.973    242.791     146.032    0.010000
55     0.053553924     0.047802418     309.626     42.851    236.529     145.341    0.010000
56     0.057829563     0.081411548     301.173     38.686    254.648     147.691    0.000000
57     0.093312070     0.045581091     301.573     37.708    248.148     147.248    0.010000
58     0.061450999     0.044930372     299.604     39.509    249.177     147.280    0.020000
59     0.062032085     0.050576381     304.544     38.984    253.793     148.651    0.010000
60     0.058357999     0.046060905     304.699     40.991    255.400     147.289    0.000000
61     0.045819249     0.054783478     294.391     37.377    247.993     147.397    0.010000
62     0.054085467     0.039980903     299.565     36.346    234.477     143.930    0.010000
63     0.049856886     0.050278883     297.751     35.106    260.562     147.568    0.010000
64     0.063173607     0.056205992     298.111     35.704    262.687     147.506    0.010000
65     0.080001652     0.048493847     299.950     35.411    257.718     146.502    0.010000
66     0.055564843     0.044589862     297.457     34.813    269.032     149.182    0.010000
67     0.068292998     0.045781907     306.189     36.792    273.477     147.812    0.010000
68     0.054193765     0.053170420     315.086     40.820    284.211     149.405    0.010000
69     0.056193098     0.100290269     310.609     37.130    283.143     149.650    0.010000
70     0.107205302     0.035072766     314.995     40.059    283.616     149.020    0.010000
71     0.056569297     0.083098620     312.287     37.057    278.397     146.797    0.010000
72     0.042504780     0.046455614     312.047     37.972    269.206     145.935    0.010000
73     0.046700113     0.048073400     309.419     34.858    287.469     148.721    0.010000
74     0.064776920     0.047737099     311.579     36.455    280.987     147.733    0.000000
75     0.060381208     0.044505112     310.208     37.476    283.847     147.409    0.020000
76     0.039812177     0.054800887     317.689     36.274    282.952     148.231    0.010000
77     0.060073875     0.046019066     304.972     35.224    286.597     147.353    0.010000
78     0.047745943     0.047570962     313.391     36.122    281.250     146.210    0.000000
79     0.039772205     0.054754023     314.747     37.623    277.988     145.180    0.010000
80     0.046456538     0.070558958     307.637     33.991    275.721     144.184    0.020000
81     0.042436741     0.041353866     303.516     33.404    271.855     143.280    0.010000
82     0.050475463     0.050861124     315.886     34.952    271.484     143.534    0.010000
83     0.038611796     0.037503656     313.219     36.626    285.238     146.426    0.000000
84     0.046774566     0.041979123     319.709     36.636    279.022     144.593    0.010000
85     0.045202930     0.034358416     320.875     37.709    279.193     144.375    0.010000
86     0.048763122     0.048049904     320.816     36.816    277.620     143.647    0.010000
87     0.043985937     0.037754331     322.020     38.255    283.147     145.212    0.010000
88     0.057749923     0.045281790     312.168     34.469    267.891     140.694    0.020000
89     0.042085238     0.044608299     311.613     33.865    284.381     145.364    0.000000
90     0.097436756     0.049491726     323.716     38.903    265.187     141.345    0.010000
91     0.040995114     0.087183543     314.418     36.099    264.500     140.964    0.010000
92     0.042933080     0.051874630     310.810     33.892    278.269     143.718    0.020000
93     0.049581308     0.043980103     320.230     34.574    258.812     139.563    0.000000
94     0.045392398     0.066537678     305.371     32.073    278.463     144.471    0.000000
95     0.090628304     0.042477299     322.003     37.352    263.860     141.098    0.020000
96     0.038676489     0.071766660     319.829     36.660    277.897     144.372    0.010000
97     0.059643462     0.047859985     319.053     36.370    272.723     143.388    0.010000
98     0.044245284     0.053598162     328.740     38.604    273.922     141.665    0.010000
99     0.057938870     0.084687077     312.999     34.086    262.118     138.782    0.010000
100     0.042021237     0.044488352     314.790     34.812    275.596     142.285    0.010000
101     0.060693204     0.043875907     326.242     37.822    276.777     141.932    0.000000
102     0.041128881     0.078709647     330.319     37.930    279.839     143.228    0.020000
103     0.041076489     0.038342759     321.151     35.039    280.121     143.200    0.000000
104     0.048606183     0.053711019     327.827     37.815    283.090     143.884    0.020000
105     0.069443196     0.057715368     323.726     37.045    275.269     140.624    0.010000
106     0.046838865     0.050852932     320.190     36.289    278.087     141.683    0.010000
107     0.049186122     0.039270028     321.376     37.613    280.361     142.558    0.010000
108     0.040821854     0.046452306     325.396     38.048    278.012     141.210    0.010000
109     0.042769786     0.045035873     321.537     36.899    260.382     136.719    0.010000
110     0.034035891     0.046151843     318.893     35.425    268.279     140.931    0.000000
111     0.065703504     0.047588788     328.703     37.900    282.570     142.493    0.020000
112     0.047082074     0.050674874     320.128     35.687    262.030     137.405    0.000000
113     0.059080623     0.044878203     330.028     38.112    280.534     143.338    0.010000
114     0.075689875     0.045741182     325.952     36.970    269.748     140.831    0.010000
115     0.052929912     0.055699755     335.858     39.960    284.955     143.773    0.010000
116     0.052174713     0.049308088     327.812     35.512    278.388     141.332    0.010000
117     0.039907318     0.038223293     326.731     35.104    276.010     142.184    0.020000
118     0.050610933     0.046135779     329.573     35.911    274.028     143.213    0.000000
119     0.048335981     0.061922163     329.355     37.431    283.721     143.701    0.010000
120     0.045270137     0.047526032     326.856     34.516    272.477     139.979    0.010000
